GABRA1	PRKCD
PRKCD	STAT3
STAT3	JUN
PRKCD	SP1
PRKCD	STAT1
PRKCD	EP300
EP300	SMAD3
EP300	TFAP2A
EP300	CREB1
EP300	JUND
EP300	FOS
EP300	SMAD4
EP300	CREBBP
STAT3	HIF1A
EP300	ETS1
EP300	ARNT
EP300	TP63
TP63	ETV4
EP300	JUNB
PRKCD	APP
APP	SYVN1
SYVN1	ATF6
PRKCD	YWHAG
YWHAG	YAP1
PRKCD	INSR
INSR	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
EP300	E2F1
E2F1	TEAD3
EP300	PPARG
ADRA2B	UCHL1
UCHL1	UBE2I
UBE2I	JUN
UCHL1	CTNNB1
CTNNB1	SP1
UCHL1	HSP90AA1
HSP90AA1	STAT3
UBE2I	STAT1
UCHL1	TP53
TP53	SMAD3
TP53	TFAP2A
TP53	CREB1
UCHL1	COPS5
COPS5	JUND
UBE2I	FOS
COPS5	SMAD4
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	HIF1A
UBE2I	ETS1
HSP90AA1	ARNT
UBE2I	TP63
UCHL1	UBC
UBC	ATF6
ADRA2B	EIF2B1
EIF2B1	GCD2
GCD2	TSA1
TSA1	YAP1
CTNNB1	SOX2
SOX2	TEAD1
EIF2B1	GORASP2
GORASP2	GOLGA2
UBE2I	SUMO2
SUMO2	TEAD3
CTNNB1	PPARG
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	PIN1
PIN1	JUN
ZCCHC10	TP53
TP53	SP1
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	STAT3
TIFA	IRAK1
IRAK1	STAT1
SDCBP2	SEC23A
SEC23A	TPM1
TPM1	JUND
SDCBP2	PRPF40A
PRPF40A	UBE2I
ZCCHC10	SNIP1
SNIP1	SMAD4
TP53	CREBBP
TP53	EP300
TRAF6	HIF1A
TP53	ETS1
HIF1A	ARNT
PRPF40A	HTT
HTT	ETV4
SDCBP2	LYAR
LYAR	NPM1
NPM1	JUNB
TRAF6	UBC
PIN1	YAP1
SDCBP2	BEND7
BEND7	TRIM27
TRIM27	TEAD4
TEAD4	TEAD1
BEND7	C1QBP
C1QBP	PHB2
PHB2	TEAD3
PIN1	PPARG
GABRA4	APP
APP	MAPK8
MAPK8	JUN
MAPK8	SP1
MAPK8	STAT3
APP	HDAC4
HDAC4	STAT1
APP	GSK3B
GSK3B	SMAD3
APP	MYC
MYC	TFAP2A
APP	KAT5
KAT5	CREB1
MAPK8	JUND
APP	MAPK7
MAPK7	FOS
APP	CSNK1D
CSNK1D	SMAD4
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
MAPK7	ETS1
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
APP	HSPA8
HSPA8	HTT
MAPK8	JUNB
APP	TAF6
TAF6	YAP1
APP	HGS
HGS	INSR
MCM7	TRIM27
KAT5	E2F1
APP	RFX5
RFX5	PPARG
GABRB1	NOD1
NOD1	CASP9
CASP9	JUN
NOD1	HSP90AA1
HSP90AA1	SP1
NOD1	UBC
UBC	BRCA1
BRCA1	STAT1
NOD1	CFLAR
CFLAR	SMAD3
NOD1	RNF34
RNF34	TP53
UBC	TPM1
UBC	ABL1
ABL1	FOS
UBC	FHL2
FHL2	SMAD4
NOD1	PSMA7
PSMA7	HIF1A
UBC	UBA2
UBA2	ETV4
BRCA1	JUNB
ABL1	YAP1
TP53	NCOA1
NCOA1	TEAD1
UBC	TRIM27
UBC	E2F1
UBC	SFPQ
SFPQ	PPARG
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	JUN
TRAK2	PRKAB2
PRKAB2	CRX
CRX	SP1
GSK3B	BCL3
BCL3	STAT3
PRKAB2	GNB2L1
GNB2L1	STAT1
GSK3B	TP53
GSK3B	CREB1
SMAD3	JUND
BCL3	FOS
PRKAB2	PIAS2
PIAS2	SMAD4
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
GNB2L1	HIF1A
PIAS2	ARNT
TRAK2	PRKAG1
PRKAG1	FKBP4
FKBP4	SAE1
SAE1	ETV4
SMAD3	JUNB
CREB1	ATF6
PRKAG1	SIP2
SIP2	YAP1
YAP1	TEAD1
PRKAB2	GOLGA2
YAP1	TEAD3
GSK3B	CTNNB1
GABRB3	MEOX2
MEOX2	RELA
RELA	JUN
RELA	SP1
RELA	STAT3
MEOX2	CIAPIN1
CIAPIN1	STAT1
MEOX2	TGFB1
TGFB1	SMAD3
GABRB3	PRKCA
PRKCA	EP300
GABRB3	PRKACA
PRKACA	CREB1
RELA	FOS
RELA	SMAD4
RELA	CREBBP
RELA	HIF1A
PRKACA	HSP90AA1
TGFB1	SMAD2
SMAD2	ETV4
MEOX2	PIN1
MEOX2	PRKAB2
MEOX2	KAT5
PRKCA	PPARG
GABRD	UBQLN1
UBQLN1	HCVgp1
HCVgp1	JUN
UBQLN1	APP
UBQLN1	MTOR
MTOR	STAT3
MTOR	STAT1
HCVgp1	SMAD3
UBQLN1	EPS15
EPS15	TFAP2A
UBQLN1	ATXN3
ATXN3	CREB1
UBQLN1	RAD23A
RAD23A	CREBBP
UBQLN1	GAPDH
GAPDH	EP300
UBQLN1	RAD23B
RAD23B	HIF1A
UBQLN1	C1QTNF2
C1QTNF2	ARNT
UBQLN1	UBC
UBQLN1	UBQLN2
UBQLN2	YAP1
UBQLN1	HGS
GABRE	HLA-A
HLA-A	STAT3
GABRE	CUX1
CUX1	CCNA1
CCNA1	SP1
GABRE	ALG9
ALG9	RTF1
RTF1	STAT1
GABRE	GPAA1
GPAA1	PIN1
PIN1	SMAD3
GABRE	FAM189B
FAM189B	HECW2
HECW2	TFAP2A
CUX1	RECQL5
RECQL5	CREB1
ALG9	TPM1
ALG9	XBP1
XBP1	FOS
FAM189B	WWP1
WWP1	SMAD4
GABRE	GP1BB
GP1BB	LYN
LYN	CREBBP
CUX1	SATB1
SATB1	EP300
SATB1	PML
PML	ARNT
GABRE	BSCL2
BSCL2	ZDHHC17
ZDHHC17	HTT
XBP1	ATF6
FAM189B	YAP1
ZDHHC17	TEAD1
ZDHHC17	GOLGA2
GABRG2	GABARAP
GABARAP	TAX1BP1
TAX1BP1	ITCH
ITCH	JUN
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	SP1
GABARAP	TBC1D15
TBC1D15	STAT3
GABARAP	ATG7
ATG7	STAT1
NEDD4	PPARG
PPARG	TFAP2A
NEDD4	AKT1
AKT1	CREB1
SMAD3	FOS
SMAD3	SMAD4
SMAD3	CREBBP
ATG7	EP300
GABARAP	SQSTM1
SQSTM1	HIF1A
NEDD4	SMAD2
NEDD4	YY1
YY1	ATF6
TAX1BP1	RAD18
RAD18	YAP1
GABARAP	DVL2
DVL2	WWTR1
WWTR1	TEAD1
TAX1BP1	IKBKE
IKBKE	TRIM27
WWTR1	TEAD3
TCF7	BIRC5
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
HIF1A	PGK1
ARNT	FIGF
ARNT	PDK1
ARNT	PFKFB2
YAP1	BIRC2
YAP1	CCND1
YAP1	SNAI2
WWTR1	FGF1
WWTR1	BBC3
SMAD1	ID4
TEAD1	SOX2
TEAD3	CTGF
NFYA	HLA-DOA
TCF7	JUN
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
PPARG	EGFR
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
POU2F2	MYC
NFIC	VWF
