CACNA1C	COPS5
COPS5	TP53
TP53	CREB1
COPS5	JUN
TP53	TFAP2A
COPS5	NFKB1
COPS5	ESR1
ESR1	RELA
COPS5	SMAD4
SMAD4	CEBPA
COPS5	TRIM28
TRIM28	MYB
CACNA2D1	RAB11A
RAB11A	RAB5A
RAB5A	RAB1A
RAB1A	CREB1
RAB5A	AP1G1
AP1G1	JUN
RAB11A	RCHY1
RCHY1	TP53
RCHY1	TP63
TP63	NFKB1
RCHY1	AR
AR	RELA
RAB11A	YWHAG
YWHAG	C1QBP
C1QBP	CEBPA
CACNA2D1	NDUFS4
NDUFS4	APP
APP	KAT5
KAT5	MYB
CACNA1S	SRI
SRI	STAT3
STAT3	EP300
EP300	CREB1
STAT3	JUN
EP300	TFAP2A
STAT3	NFKB1
STAT3	RELA
SRI	ANXA7
ANXA7	TP53
STAT3	CDKN1A
CDKN1A	CEBPA
STAT3	PML
PML	MYB
CALM1	AKT1
AKT1	CREB1
CALM1	AR
AR	JUN
CALM1	ITPR1
ITPR1	BRCA1
BRCA1	TFAP2A
CALM1	DCUN1D1
DCUN1D1	NFKB1
CALM1	ESR1
ESR1	TP53
ESR1	CDKN1A
ESR1	EP300
EP300	MYB
CALM2	RPSA
RPSA	BRCA1
BRCA1	CREB1
CALM2	CCND2
CCND2	RB1
RB1	JUN
RB1	TFAP2A
CALM2	CAMTA2
CAMTA2	HDAC5
HDAC5	NFKB1
CALM2	MYO6
MYO6	POLR2A
POLR2A	RELA
CALM2	AKAP9
AKAP9	CSNK1D
CSNK1D	TP53
CCND2	CDKN1A
RPSA	RPL4
RPL4	MYB
CALM3	TRIM54
TRIM54	ATXN3
ATXN3	CREB1
CALM3	CCND2
CALM3	CAMTA2
TRIM54	USP7
USP7	RELA
CALM3	APPBP2
APPBP2	RNF34
RNF34	TP53
APPBP2	APP
KCNA1	KCNA4
KCNA4	SIRT1
SIRT1	CREB1
SIRT1	JUN
KCNA4	SRC
SRC	TP53
KCNA4	DLG1
DLG1	BTRC
BTRC	NFKB1
SIRT1	RELA
SIRT1	FOS
FOS	CEBPA
SRC	CREBBP
CREBBP	MYB
CACNA1H	KLHL1
KLHL1	Csk
Csk	CSK
CSK	CREBBP
CREBBP	CREB1
CSK	JUN
Csk	Crebbp
Crebbp	EPAS1
EPAS1	TFAP2A
KLHL1	CACNA1A
CACNA1A	NOTCH1
NOTCH1	NFKB1
CREBBP	RELA
CACNA1A	HECW1
HECW1	TP53
CACNA1A	CSNK2B
CSNK2B	CDKN1A
ATF6B	FOS
ATF4	FOS
GLI3	WNT5A
HIF1A	PFKFB4
HIF1A	PFKL
STAT5A	SOCS2
STAT6	CCND1
CREB3L4	MITF
MAPK3	IL6
LEF1	ADA
ETS1	DNTT
EGR1	EGFR
ESR1	EGFR
NFIC	GOT1
CEBPA	GPX4
CREM	GPX4
TFAP2A	GPX4
RELA	ICAM1
SPI1	ICAM1
ATF1	ID2
ETS1	PRL
CEBPD	PTGS2
ETS1	TFRC
