HTR1B	MDFI
MDFI	VHL
VHL	SP1
MDFI	KAT5
KAT5	UBE2I
UBE2I	HSF1
KAT5	TP53
KAT5	EP300
EP300	NFKB1
KAT5	CEBPA
KAT5	BRCA1
BRCA1	POU2F1
MDFI	PIN1
PIN1	PPARG
PIN1	JUN
HTR1D	HTR1B
HTR1A	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	HSPB1
HSPB1	HSF1
S1PR1	TRIP6
TRIP6	PTK2
PTK2	TP53
YWHAQ	E2F1
E2F1	NFKB1
SMAD3	CEBPA
YWHAQ	LMNB1
LMNB1	POU2F1
GNAI3	XPO1
XPO1	PPARG
TRIP6	CREB5
CREB5	JUN
GLI3	PTCH1
TFDP2	CCNE2
SOS1	SPRY3
LEF1	MITF
RBPJ	HES1
NFYA	CD74
NFYB	HLA-DRB5
RFX5	HLA-DQB1
RFX5	HLA-DRA
CEBPB	ALB
SP1	ALDH3A1
JUN	ALDOA
SMAD1	ANKRD1
TP53	CAV1
JUN	TFPI2
ELK1	TNF
