HTR2A	CBL
CBL	CTNNB1
CTNNB1	CREBBP
CBL	GRB2
GRB2	EP300
CTNNB1	HIF1A
EP300	ARNT
CBL	SMAD3
SMAD3	JUN
CTNNB1	SP1
SMAD3	FOS
EP300	ETS1
CBL	ABL1
ABL1	CREB1
GRB2	HTT
HTT	ETV4
CBL	EGFR
EGFR	STAT1
SMAD3	SMAD4
SMAD3	JUND
EGFR	STAT3
EP300	TFAP2A
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
SMAD3	JUNB
GRB2	HSP90AA1
HSP90AA1	PPARA
CTNNB1	PPARG
CBL	MAPK8
MAPK8	MYC
EP300	SP3
SMAD3	MAX
CBL	YWHAZ
YWHAZ	TP53
CBL	SRC
SRC	RXRA
PPARG	RXRB
PPARG	RXRG
CTNNB1	BRCA1
BRCA1	NFYA
GRB2	NFYB
SMAD3	NFYC
CTNNB1	APP
APP	RFX5
GRB2	NCL
NCL	RFXAP
CTNNB1	HDAC4
HDAC4	RFXANK
EP300	USF2
EP300	EGR1
DRD2	FLNA
FLNA	REL
REL	CREBBP
REL	EP300
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
DRD2	CALM1
CALM1	HSP90AA1
HSP90AA1	ARNT
FLNA	RBM39
RBM39	JUN
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
FLNA	LMNA
LMNA	PML
PML	FOS
PPP1R9B	PPP1CA
PPP1CA	CREB1
REL	ATXN1
ATXN1	ETV4
DRD2	PAWR
PAWR	STAT1
COPS5	SMAD4
COPS5	JUND
PAWR	AATF
AATF	SMAD3
STAT1	STAT3
LMNA	RB1
RB1	TFAP2A
REL	NFKB1
REL	RELA
EP300	JUNB
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
EPB41L1	APP
APP	MYC
CALM1	ESR1
ESR1	SP3
FLNA	DYNC1H1
DYNC1H1	MAX
FLNA	RANBP2
RANBP2	TP53
PML	RXRA
RANBP2	AKAP13
AKAP13	RXRB
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
PAWR	SHMT2
SHMT2	NFYA
EP300	NFYB
REL	CDK2
CDK2	NFYC
LMNA	NCL
FLNA	BSG
BSG	RFXANK
