HTR2A	CBL
CBL	BAG1
BAG1	RARA
CBL	SMAD3
SMAD3	NCOA1
NCOA1	RARB
CBL	YWHAZ
YWHAZ	AJUBA
AJUBA	RARG
YWHAZ	TP53
CBL	CTNNB1
CTNNB1	SP1
CBL	MAPK8
MAPK8	ELK4
CBL	SMAD7
SMAD7	SRF
CTNNB1	TCF3
TCF3	ELK3
SMAD3	JUN
CBL	EGFR
EGFR	STAT1
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	PPARA
CTNNB1	ESR1
CTNNB1	PPARD
CBL	ABL1
ABL1	CREB1
GRB2	EP300
EP300	EGR1
MAPK8	IRF3
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CTNNB1	HIF1A
CBL	SRC
SRC	RXRA
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
SMAD3	ATF2
MAPK8	SPI1
EP300	SP3
GRB2	HTT
HTT	ETV4
SMAD3	SMAD4
MAPK8	ELK1
CTNNB1	CREBBP
EP300	ARNT
EP300	ETS1
CTNNB1	COPS5
COPS5	CREB3
CTNNB1	ELAVL1
ELAVL1	CREB3L2
CBL	MAPK14
MAPK14	DDIT3
DDIT3	CREB3L1
GRB2	KRT15
KRT15	CREB5
EGFR	STAT3
EP300	ATF4
EP300	ETS2
CTNNB1	BRCA1
BRCA1	NFYA
GRB2	NFYB
SMAD3	NFYC
CTNNB1	APP
APP	RFX5
GRB2	NCL
NCL	RFXAP
CTNNB1	HDAC4
HDAC4	RFXANK
SMAD3	YAP1
DRD2	PAWR
PAWR	SQSTM1
SQSTM1	RARA
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	NCOA1
DRD2	FLNA
FLNA	SRRM2
SRRM2	MRPL12
MRPL12	RARG
FLNA	RANBP2
RANBP2	TP53
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
SRRM2	ELAVL1
ELAVL1	ELK4
DRD2	CALM1
CALM1	GTF2I
GTF2I	SRF
CALM1	TCF3
FLNA	RBM39
RBM39	JUN
PAWR	STAT1
CALM1	HSP90AA1
CALM1	ESR1
HSP90AA1	PPARD
PPP1R9B	PPP1CA
PPP1CA	CREB1
CDKN2A	EGR1
HSP90AA1	IRF3
FLNA	REL
REL	NFKB1
REL	RELA
COPS5	HIF1A
FLNA	LMNA
LMNA	PML
PML	RXRA
RANBP2	AKAP13
AKAP13	RXRB
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
PML	ATF2
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
PML	SPI1
ESR1	SP3
REL	ATXN1
ATXN1	ETV4
PAWR	AATF
AATF	SMAD3
COPS5	SMAD4
EPB41L1	APP
APP	ELK1
REL	CREBBP
REL	EP300
HSP90AA1	ARNT
REL	CEP19
CEP19	CREB3L2
COPS5	PGRMC1
PGRMC1	CREB3L1
EPB41L1	ITPR1
ITPR1	BRCA1
BRCA1	CREB5
STAT1	STAT3
PAWR	SHMT2
SHMT2	ATF4
SHMT2	NFYA
EP300	NFYB
REL	CDK2
CDK2	NFYC
LMNA	NCL
FLNA	BSG
BSG	RFXANK
PPP1CA	YAP1
DRD1	RANBP9
RANBP9	APP
APP	PHF8
PHF8	RARA
RANBP9	ESR1
ESR1	NCOR2
NCOR2	RARB
ESR1	NCOA3
NCOA3	RARG
ESR1	TP53
ESR1	SP1
APP	MAPK8
RANBP9	UBE2I
UBE2I	SRF
ESR1	TOP1
TOP1	ELK3
RANBP9	NR3C1
NR3C1	JUN
UBE2I	STAT1
UBE2I	PPARA
NCOR2	PPARD
