SLC22A6	APP
APP	PSEN2
PSEN2	TRAF6
TRAF6	IRF7
APP	TIRAP
TIRAP	MYD88
APP	MAPK8
MAPK8	REL
REL	NEUROG3
MAPK8	SP1
APP	DDX54
DDX54	ESR1
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
MAPK8	STAT3
APP	HDAC4
HDAC4	STAT1
APP	RFX5
RFX5	PPARG
APP	KAT5
KAT5	CREB1
MAPK8	CTNNB1
CTNNB1	PPARD
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
PSEN2	ELAVL1
ELAVL1	ARNT
AKAP13	PPARA
APP	HSPA8
HSPA8	HTT
HTT	ETV4
MAPK8	JUN
APP	MYC
MYC	TFAP2A
GSK3B	NFKB1
MAPK8	SPI1
MYC	GLI1
APP	APBB1
APBB1	HDAC1
HDAC1	GLI2
HDAC1	GLI3
APP	MAPK7
MAPK7	ETS1
MYC	VDR
MAPK8	TP53
MAPK7	FOS
EP300	PAX6
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
APP	LTV1
LTV1	FPR1
FPR1	PIK3R5
APP	WDR5
WDR5	PIK3CA
APP	TGFBR2
TGFBR2	PIK3CB
MAPK8	CRK
CRK	PIK3CD
APP	SNCA
SNCA	GABARAPL1
GABARAPL1	PIK3CG
SHC1	PIK3R1
SHC1	PIK3R2
TGFBR2	PIK3R3
APP	HGS
HGS	ESRRG
ESRRG	MEOX2
MEOX2	PAX1
APP	EEF1D
EEF1D	RELA
RELA	SP3
HSPA8	POU2F1
HGS	MAP3K10
MAP3K10	NEUROD1
HDAC1	NKX2-2
ELAVL1	STAT2
MAPK8	PIAS2
PIAS2	STAT4
HGS	AHCYL1
AHCYL1	STAT6
MAPK8	ATF2
PANX1	GNAS
GNAS	AXIN1
AXIN1	TNFAIP3
TNFAIP3	IRF7
GNAS	SHMT2
SHMT2	HDAC6
HDAC6	MYD88
GNAS	NUCB1
NUCB1	REL
GNAS	C1QBP
C1QBP	PRKCZ
PRKCZ	SP1
GNAS	GIPC1
GIPC1	MMS19
MMS19	ESR1
GNAS	RUVBL1
RUVBL1	UBE2I
UBE2I	RXRA
RUVBL1	RARA
RARA	RXRB
RARA	RXRG
GNAS	HLA-A
HLA-A	STAT3
GNAS	GNB2
GNB2	STAT1
C1QBP	PRKCA
PRKCA	PPARG
RUVBL1	CREBBP
CREBBP	CREB1
RUVBL1	CTNNB1
C1QBP	PRKCD
PRKCD	EP300
GIPC1	MCM7
RUVBL1	ELAVL1
C1QBP	DAP3
DAP3	PPARA
AXIN1	HTT
C1QBP	PRKD1
PRKD1	JUN
GIPC1	SH3BP4
SH3BP4	TFAP2A
C1QBP	NFKBIE
NFKBIE	NFKB1
C1QBP	CEBPA
CEBPA	SPI1
AXIN1	MYC
AXIN1	SKI
SKI	GLI2
PRKCA	GLI3
CREBBP	ETS1
CEBPA	VDR
AXIN1	TP53
CEBPA	FOS
RUVBL1	AR
AR	PAX6
RUVBL1	LEF1
LEF1	STAT5A
SHMT2	ELP2
ELP2	STAT5B
GNAS	PAICS
PAICS	ZPR1
ZPR1	FPR1
PAICS	PCBP1
PCBP1	PIK3CA
PCBP1	PIK3CB
GIPC1	TAGLN
TAGLN	PIK3CD
PIK3CD	PIK3CG
PCBP1	PIK3R1
GNAS	GNG5
GNG5	GOLGA2
GOLGA2	PIK3R2
SHMT2	RELT
RELT	PIK3R3
HLA-A	MEOX2
CREBBP	SP3
C1QBP	HSPA8
GIPC1	ACTN1
ACTN1	PDHX
PDHX	NEUROD1
C1QBP	PHB2
PHB2	HDAC1
PAICS	HSPB1
HSPB1	STAT2
PAICS	TKT
TKT	STAT4
C1QBP	AHCYL1
CREBBP	ATF2
GIPC1	OGT
OGT	RELA
NR3C2	ATP1A4
NR3C2	ATP1B3
ATF6B	PDYN
ATF4	PDYN
NFKB1	BIRC3
NFKB1	BCL2
GLI1	WNT1
GLI1	WNT3
GLI2	GLI1
GLI2	WNT4
GLI3	PTCH1
ARNTL	PER3
ARNTL	PER2
NPAS2	CRY1
NPAS2	CRY2
ELK1	BIRC2
CREB3	IL8
EGR2	FASLG
IRF3	IFNB1
NFKB1	IL6
MAPK8	JUN
MAPK9	JUN
RELA	MMP9
CREB3L1	IL8
CREBBP	ALDOA
CREBBP	ANGPT1
CREBBP	NOS3
CREBBP	ANGPT4
CREBBP	PFKFB1
CREBBP	PGF
CREBBP	VEGFA
EP300	ALDOA
EP300	ANGPT1
EP300	NOS3
EP300	ANGPT4
EP300	PFKFB1
EP300	PGF
EP300	VEGFA
HIF1A	ALDOA
HIF1A	ANGPT1
HIF1A	NOS3
HIF1A	ANGPT4
HIF1A	PFKFB1
TEAD1	CTGF
TEAD1	NKD1
TEAD4	SOX2
TEAD3	BIRC2
TEAD3	CCND3
TCF7L1	CCND3
TEAD2	AXIN1
SOS2	CCND3
STAT1	SOCS4
STAT1	MYC
STAT1	PIM1
STAT1	CCND1
STAT1	SOCS2
STAT1	CCND2
STAT1	SOCS3
STAT1	SOCS5
STAT5A	CCND2
HSF1	HSPA1B
HSF1	HSPA8
MYD88	IL1B
MYD88	IL12B
SRF	FOS
ONECUT1	PDX1
PDX1	HNF4A
NEUROD1	INS
CREB3L3	MITF
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
FOS	IL8
FOS	MMP2
HIF1A	PDGFB
JUN	FIGF
JUN	MMP1
MYC	MMP2
NFKB1	TRAF6
NFKB2	BIRC8
NFKB2	BIRC7
ATF2	MCL1
ATF4	BCL2
NFKB1	MYB
CREB3L2	MCL1
PPARA	FABP1
PPARA	ANGPTL4
PPARD	ACADL
PPARD	ILK
PPARD	ACOX1
PPARG	ACSL4
PPARG	SCD5
RXRA	CYP27A1
RXRA	DBI
RXRA	FABP4
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	CYP27A1
RXRB	DBI
RXRB	EHHADH
RXRB	FABP4
RXRB	FABP1
RXRB	FABP3
RXRB	ACSL1
RXRB	ACSL3
RXRB	SLC27A1
RXRG	NR1H3
RXRG	SORBS1
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT1C
RXRG	CPT1A
RXRG	CPT1B
RXRG	CPT2
RXRG	CYP4A11
RXRG	CYP7A1
RXRG	CYP8B1
RXRG	CYP27A1
STAT1	CXCL10
NFYC	LOC100507709
NFYC	HLA-DMA
NFYC	HLA-DMB
NFYC	HLA-DOA
RFX5	HLA-DOB
RFXANK	HLA-DMB
RFXANK	HLA-DOA
CREB3L4	AQP2
CEBPA	TWF2
CEBPA	TSC22D3
ELK1	TWF2
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
USF1	CEACAM1
SP1	COL1A1
SP1	GH2
ATF2	IFNG
