ACHE	COL1A1
COL1A1	UBL4A
UBL4A	TXN
TXN	NFKB1
UBL4A	KPNA2
KPNA2	RELA
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
IGFBP3	FN1
FN1	UBE2L3
UBE2L3	FOS
IGF1R	TP53
TP53	EGR1
TP53	ETS1
UBL4A	NCL
NCL	SP1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	POU2F1
UBL4A	RAB1A
RAB1A	CREB1
FN1	CSNK2A1
CSNK2A1	ATF1
FN1	HDAC1
HDAC1	IRF5
COL1A1	ITGB1
ITGB1	PTK2
PTK2	SAE1
SAE1	ETV4
FN1	SMAD4
SMAD4	ATF2
UBL4A	HSP90AA1
HSP90AA1	NFIC
IGF1R	ESR1
ESR1	SP3
UBL4A	HSPB1
HSPB1	ZBTB17
UBL4A	HUWE1
HUWE1	PIAS2
ITGB1	NME1
NME1	GATA1
GATA1	FLI1
HTR2A	CBL
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CBL	SMAD3
SMAD3	JUN
SMAD3	FOS
CBL	GRB2
GRB2	EP300
EP300	EGR1
EP300	ETS1
CBL	CTNNB1
CTNNB1	SP1
HSPA8	POU2F1
CBL	ABL1
ABL1	CREB1
HTR2A	DLG4
DLG4	CACNG2
CACNG2	ATF1
CBL	TRIM21
TRIM21	IRF5
GRB2	HTT
HTT	ETV4
SMAD3	ATF2
GRB2	HSP90AA1
EP300	SP3
EP300	ZBTB17
CBL	MAPK8
MAPK8	PIAS2
CTNNB1	BRCA1
BRCA1	FLI1
CREB1	CRH
ATF2	CRH
ZBTB17	CDKN2B
NFKB1	CCL5
RELA	CCL5
FOS	MMP9
NFKB1	MMP9
NFKB1	TNF
RELA	MMP9
RELA	TNF
NFKB1	PLAU
NFKB1	CCL4
NFKB1	VCAM1
RELA	PLAU
RELA	CCL4
RELA	VCAM1
ETS1	MMP9
JUN	MMP9
PIAS2	CDKN2B
EGR1	CCL5
SP1	CDKN2B
FOS	CCL4
FOS	CCL5
FOS	TNF
IRF5	CCL5
IRF5	TNF
JUN	CCL4
JUN	CCL5
JUN	TNF
CREB1	ARG1
NFIC	ARG1
POU2F1	CD79A
NFKB1	CTSB
RELA	CTSB
SP3	CTSB
SP1	HBZ
ETV4	MMP9
FLI1	MMP9
SP1	MMP9
EGR1	PLAU
ETS1	PLAU
POU2F1	PLAU
SP1	PLAU
CREB1	POLD2
JUN	POLD2
NFIC	POLD2
ATF1	TG
CREB1	TG
ATF1	TNF
ATF2	TNF
EGR1	TNF
ETS1	TNF
ETV4	TNF
POU2F1	TNF
SP1	TNF
SP3	TNF
