HTR2A	CBL
CBL	CTNNB1
CTNNB1	HIF1A
CBL	YWHAZ
YWHAZ	TP53
CBL	HSPA8
HSPA8	RELA
CTNNB1	CREBBP
CBL	GRB2
GRB2	EP300
EP300	ARNT
CTNNB1	FOXO3
CTNNB1	SP1
CBL	HSPA4
HSPA4	NFKB1
EP300	EGR1
CBL	SMAD3
SMAD3	JUN
KCNH2	HSP90AA1
HSP90AA1	HIF1A
KCNH2	HSPA8
HSPA8	TP53
KCNH2	YWHAE
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	ARNT
HSP90AA1	SP1
YWHAE	HDAC4
HDAC4	NFKB1
RELA	EGR1
YWHAE	ABL1
ABL1	JUN
MAPK11	IL8
RBPJL	FCER2
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
RBPJ	HES5
TP53	BAX
NFKB1	FIGF
RELA	PGF
RXRB	ACAA1
NFYC	HLA-DQB1
NFYC	HLA-DRA
NFYC	HLA-DRB3
NFYC	HLA-DRB4
MAPK3	IL12A
SP3	DKC1
ATF4	HPGD
RELA	IL2
NFKB1	IRF1
CEBPA	ITGA2
JUN	MAT2A
SP1	MAT2B
