SLC22A6	APP
APP	CDC20
CDC20	CREBBP
APP	MAPK8
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	MAPK7
MAPK7	ETS1
MAPK8	STAT3
APP	KAT5
KAT5	CREB1
MAPK8	JUN
MAPK8	ATF2
ATF2	ATF1
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
AKAP13	PPARA
MAPK8	SP1
PANX1	GNAS
GNAS	RUVBL1
RUVBL1	CREBBP
GNAS	C1QBP
C1QBP	PRKCD
PRKCD	EP300
GNAS	GIPC1
GIPC1	MCM7
RUVBL1	ELAVL1
C1QBP	NFKBIE
NFKBIE	NFKB1
GIPC1	OGT
OGT	RELA
CREBBP	ETS1
GNAS	HLA-A
HLA-A	STAT3
CREBBP	CREB1
C1QBP	PRKD1
PRKD1	JUN
CREBBP	ATF1
RUVBL1	UBE2I
UBE2I	RXRA
RUVBL1	RARA
RARA	RXRB
RARA	RXRG
C1QBP	DAP3
DAP3	PPARA
C1QBP	PRKCZ
PRKCZ	SP1
STAT3	PIM2
CREBBP	ANGPT1
CREBBP	PGK1
CREBBP	TFRC
EP300	ANGPT1
EP300	PGK1
EP300	TFRC
HIF1A	ANGPT1
HIF1A	PGK1
HIF1A	TFRC
ARNT	ANGPT1
ARNT	PGK1
ARNT	TFRC
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
NFKB1	VCAM1
RELA	VCAM1
PPARA	FABP1
PPARA	ACOX2
RXRA	FABP1
RXRA	ACOX2
RXRB	FABP1
RXRB	ACOX2
RXRG	FABP1
RXRG	ACOX2
SP1	CD14
NFKB1	CD83
SP1	CD83
SP1	HSPB1
ETS1	PRL
ETS1	SLC26A3
ATF1	TFRC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
