HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRDC3	ITCH
ITCH	JUN
ARRDC3	WWP1
WWP1	SMAD4
ARRB2	YWHAQ
YWHAQ	YAP1
ARRDC3	NEDD4
NEDD4	SMAD3
ARRDC3	HGS
HGS	INSR
INSR	TEAD1
ARRDC3	OTUB2
OTUB2	TRIM27
TRIM27	TEAD4
ARRDC3	ADRB2
ADRB2	PHB2
PHB2	TEAD3
ARRB2	YWHAE
YWHAE	WWTR1
NEDD4	SMAD2
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	XRCC6
XRCC6	POU2F1
XRCC6	POU2F2
ARRB2	AKT1
AKT1	CREB1
ARRB2	NPM1
NPM1	TFAP2A
ADRB2	STAT3
ARRB2	STAT1
ARRB2	TRAF6
TRAF6	MYD88
ADRB2	REL
ARRB2	MAPK3
ARRDC3	ARRB1
ARRB1	MAPK14
NEDD4	MAPKAPK3
MAPKAPK3	MAPK11
ARRB2	VCP
VCP	MAPK13
ARRB2	MAP2K4
MAP2K4	MAPK8
ARRB2	MAPK9
MAP2K4	MAPK10
NFKBIA	NFKB2
ARRB2	CAPN1
CAPN1	HIF1A
MAPK1	CEBPB
MAPK1	STAT5A
INSR	STAT5B
ADRB2	STAT4
ARRB2	TRIM28
TRIM28	IRF7
ARRB2	SFPQ
SFPQ	SP3
NEDD4	ERBB3
ERBB3	EGR1
ARRB2	POLR2E
POLR2E	FOS
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB1	HSP90AA1
HSP90AA1	ARNT
MAPK1	ELK1
HSP90AA1	NFIC
ARRB2	NONO
NONO	SPI1
MAPK1	RXRA
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
TRAF6	IRF8
TRIM28	IRF1
ARRB2	CDK3
CDK3	PPARA
TRAF6	IRF5
ITCH	GLI1
AKT1	SKI
SKI	GLI2
ARRB2	RALGDS
RALGDS	KRAS
KRAS	GLI3
AKT1	RARA
SMAD2	RARB
NEDD4	ARID1A
ARID1A	RARG
ITCH	TP53
TP53	ETS1
MAPK1	ATF2
EP300	USF2
MAPK1	JUND
SMAD2	ETV4
ARRB2	C1QBP
C1QBP	CEBPA
ARRB2	PARK2
PARK2	MEOX2
MEOX2	PAX1
STAT1	STAT2
ARRB2	EEF1A1
EEF1A1	STAT6
TP53	ETS2
WWP1	SMAD1
SMAD3	SMAD5
SMAD3	SMAD9
MAPK1	PDYN
MAPK3	PDYN
CREB1	PDYN
ATF2	PDYN
NFKB1	XIAP
RELA	XIAP
GLI1	WNT1
GLI1	WNT3
GLI1	WNT2B
GLI2	WNT1
GLI2	WNT3
GLI2	WNT2B
GLI3	WNT1
GLI3	WNT3
GLI3	WNT2B
ELK1	XIAP
ELK1	CCND2
JUN	CCND2
NFKB1	TNF
RELA	TNF
CREBBP	EDN1
CREBBP	ENO1
CREBBP	HK3
CREBBP	NOS2
CREBBP	ANGPT4
CREBBP	TIMP1
EP300	EDN1
EP300	ENO1
EP300	HK3
EP300	NOS2
EP300	ANGPT4
EP300	TIMP1
HIF1A	EDN1
HIF1A	ENO1
HIF1A	HK3
HIF1A	NOS2
HIF1A	ANGPT4
HIF1A	TIMP1
ARNT	EDN1
ARNT	ENO1
ARNT	HK3
ARNT	NOS2
ARNT	ANGPT4
ARNT	TIMP1
YAP1	CTGF
YAP1	ID4
YAP1	ITGB2
YAP1	CCND2
WWTR1	CTGF
WWTR1	ITGB2
SMAD1	ID4
SMAD2	CTGF
SMAD3	CTGF
SMAD4	CTGF
SMAD4	ID4
TEAD1	CTGF
TEAD1	CCND2
TEAD4	CTGF
TEAD4	CCND2
TEAD3	CTGF
TEAD3	CCND2
STAT1	SOCS7
STAT1	CCND2
STAT2	SOCS7
STAT2	CCND2
STAT3	SOCS7
STAT3	CCND2
STAT4	SOCS7
STAT4	CCND2
STAT5A	SOCS7
STAT5A	CCND2
STAT5B	SOCS7
STAT5B	CCND2
STAT6	SOCS7
STAT6	CCND2
MYD88	IL12A
MYD88	IL12B
MYD88	TNF
NFKB1	TRAF1
NFKB1	CFLAR
RELA	TRAF1
NFKB1	NOS2
NFKB2	XIAP
NFKB2	NOS2
NFKB2	TRAF1
RELA	NOS2
IRF8	IL12A
IRF8	IL12B
IRF1	IL12A
IRF1	IL12B
PPARA	UCP1
PPARA	ACSBG2
PPARG	GK2
PPARG	UCP1
PPARG	ACSBG2
RXRA	GK2
RXRA	UCP1
RXRA	ACSBG2
RXRB	GK2
RXRB	UCP1
RXRB	ACSBG2
RXRG	GK2
RXRG	UCP1
RXRG	ACSBG2
SMAD5	ID4
SMAD9	ID4
FOS	IL12A
FOS	IL12B
FOS	TNF
IRF5	IL12A
IRF5	IL12B
IRF5	TNF
IRF7	IFNA1
IRF7	IFNA2
IRF7	IFNA5
IRF7	IFNA8
IRF7	IFNA14
IRF7	IFNA16
JUN	IL12A
JUN	IL12B
JUN	TNF
NFKB1	IL12A
NFKB1	IL12B
RELA	IL12A
RELA	IL12B
SPI1	CD14
CREB1	HLA-DRB1
MAPK14	IL12A
MAPK14	IL12B
MAPK14	NOS2
MAPK14	IL23A
MAPK14	TNF
MYD88	IFNA1
MYD88	IFNA2
MYD88	IFNA5
MYD88	IFNA8
MYD88	IFNA14
MYD88	IFNA16
NFKB1	IL23A
MAPK1	IL12A
MAPK1	IL12B
MAPK1	NOS2
MAPK1	IL23A
MAPK1	TNF
MAPK3	IL12A
MAPK3	IL12B
MAPK3	NOS2
MAPK3	IL23A
MAPK3	TNF
MAPK8	IL12A
MAPK8	IL12B
MAPK8	NOS2
