ACHE	COL1A1
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
IGF1R	TP53
IGFBP3	FN1
FN1	RBL1
RBL1	E2F4
COL1A1	ITGB1
ITGB1	TUBA1A
TUBA1A	MYC
UBL4A	SMN1
SMN1	RXRA
FN1	RARA
RARA	RXRB
RARA	RXRG
FN1	UBC
UBC	ATF6
UBL4A	HSP90AA1
HSP90AA1	NFIC
IGFBP3	CD44
CD44	EP300
EP300	USF2
UBL4A	NPM1
NPM1	TFAP2A
CD44	STAT3
ITGB1	PTK2
PTK2	STAT1
FN1	STAT5A
UBL4A	JAK1
JAK1	STAT5B
TP53	EGR1
COL1A1	P4HB
P4HB	UCHL3
UCHL3	YAP1
UBL4A	TXN
TXN	NFKB1
UBL4A	KPNA2
KPNA2	RELA
UBL4A	C1QBP
C1QBP	CEBPA
ITGB1	GNB2L1
GNB2L1	HIF1A
LEF1	CCND1
CREBBP	TEK
EP300	PFKFB1
ARNT	ENO2
ARNT	ALDOA
TEAD1	CCND1
TEAD1	SNAI2
TEAD4	CCND2
TEAD4	CCND3
TCF7L1	SOX2
TCF7L1	AXIN1
TEAD2	BIRC5
TEAD2	MYC
MAPK3	CCND1
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
PIK3CG	PDPK1
PIK3R3	PDPK1
NFKB2	TRAF2
IRF1	IL12A
FOXO3	CDKN1B
PPARA	CYP7A1
PPARA	ACADM
PPARA	ACSBG2
PPARG	CYP27A1
PPARG	PCK2
RXRA	APOA5
RXRG	FABP3
IRF7	IFNA14
MAPK1	IL1A
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
RFX5	HLA-DRB3
RFX5	HLA-DRB4
MAPK12	IL12A
USF1	APOC3
USF2	APOC3
POU2F1	HIST2H2BE
FOS	HLA-DRA
POU2F2	MYC
ETS2	VWF
