DRD1	RANBP9
RANBP9	ESR1
ESR1	E2F1
E2F1	SP4
ESR1	SP1
ESR1	TP53
RANBP9	NR3C1
NR3C1	CREB1
NR3C1	JUN
RANBP9	UBE2I
UBE2I	FOS
RANBP9	APP
APP	MYC
UBE2I	ETS1
ESR1	SP3
NR3C1	NFKB1
ESR1	RELA
RANBP9	THRB
THRB	ATF2
NR3C1	POU2F1
RANBP9	COPS5
COPS5	JUND
ESR1	CREBBP
ESR1	EP300
ESR1	HIF1A
EP300	ARNT
NR3C1	NFKB2
UBE2I	STAT1
RANBP9	TP73
TP73	YAP1
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	FOXP2
FOXP2	SP4
HSP90AA1	SP1
HSP90AA1	TP53
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	CREB1
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
EP300	FOS
GNA12	APP
EP300	ETS1
EP300	SP3
EP300	NFKB1
EP300	RELA
EP300	ATF2
APP	HSPA8
HSPA8	POU2F1
EP300	JUND
MAP3K5	CREBBP
HSP90AA1	HIF1A
HSP90AA1	ARNT
MAP3K5	TNFAIP3
TNFAIP3	NFKB2
PTK2B	EGFR
EGFR	STAT1
MAP3K5	USP9X
USP9X	YAP1
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	E2F1
CDKN2A	SP1
DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
PPP1R9B	PPP1CA
PPP1CA	CREB1
FLNA	RBM39
RBM39	JUN
FLNA	LMNA
LMNA	PML
PML	FOS
DRD2	EPB41L1
EPB41L1	APP
FLNA	REL
REL	EP300
DRD2	CALM1
CALM1	ESR1
REL	NFKB1
REL	RELA
PML	ATF2
LMNA	LMNB1
LMNB1	POU2F1
EPB41L1	COPS5
REL	CREBBP
COPS5	HIF1A
CALM1	HSP90AA1
REL	NFKB2
DRD2	PAWR
PAWR	STAT1
PPP1CA	YAP1
ADRA2A	UCHL1
UCHL1	HSPA8
POU2F1	SP4
UCHL1	CTNNB1
CTNNB1	SP1
UCHL1	TP53
TP53	CREB1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
UCHL1	UBE2I
UCHL1	CDK4
CDK4	MYC
GNAI2	SRSF1
SRSF1	PIAS1
PIAS1	SP3
UCHL1	COPS5
COPS5	NFKB1
GNAI2	NPM1
NPM1	RELA
ADRA2A	GNAO1
GNAO1	RGS20
RGS20	RUVBL2
RUVBL2	ATF2
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	HIF1A
UCHL1	HSP90AA1
GNAI2	NUCB1
NUCB1	REL
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT1
GNAO1	CACNA1B
CACNA1B	UBE2L3
UBE2L3	YAP1
HTR2A	CBL
CBL	YWHAQ
YWHAQ	E2F1
CBL	CTNNB1
CBL	YWHAZ
YWHAZ	TP53
CBL	ABL1
ABL1	CREB1
CBL	SMAD3
SMAD3	JUN
SMAD3	FOS
CBL	MAPK8
MAPK8	MYC
CBL	GRB2
GRB2	EP300
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
SMAD3	ATF2
SMAD3	JUND
GRB2	TSG101
TSG101	NFKB2
CBL	EGFR
SMAD3	YAP1
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
JUN	CCND2
ATF4	PCNA
NFKB1	TNF
CREB3L3	IL8
CREBBP	HK3
CREBBP	SERPINE1
CREBBP	TFRC
EP300	HK3
EP300	SERPINE1
EP300	TFRC
HIF1A	HK3
HIF1A	SERPINE1
ARNT	ENO1
TEAD1	BIRC5
RELA	CCL4L1
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
NFYC	HLA-DRB5
MAPK1	IL12B
MAPK1	IL18
MAPK1	NOS2
MAPK3	IL6
MAPK8	IL1A
MAPK13	IL12B
MAPK13	IL18
MAPK13	TNF
RELA	CEBPB
RELA	IL1A
RELA	IL18
RELA	IL23A
NFATC4	PTGS2
FOS	PLAUR
HIF1A	HSP90B1
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
NFKB1	ABCB1
CREB1	GH2
NFIC	GH2
TFAP2A	GH2
USF1	GH2
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
NFKB1	ICAM1
RELA	ICAM1
SPI1	ICAM1
ESR2	JUN
ETS2	JUN
JUN	JUN
SP1	TNF
SP3	TNF
SPI1	TNF
