AMY2A	IGF1R
IGF1R	CSK
CSK	JUN
IGF1R	APP
APP	MYC
IGF1R	SOCS3
SOCS3	NFKB1
IGF1R	ESR1
ESR1	RELA
ESR1	HIF1A
IGF1R	TP53
TP53	CREB1
ESR1	SP1
TP53	EGR1
GAA	STAT2
STAT2	EP300
EP300	JUN
EP300	MYC
EP300	NFKB1
GAA	GOT1
GOT1	UBE2H
UBE2H	RELA
EP300	HIF1A
EP300	CREB1
EP300	SP1
EP300	EGR1
TP53	CDKN1A
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
CREBBP	PGF
RXRA	ACADM
RXRB	PCK1
NFYC	HLA-DQB1
NFYC	HLA-DRA
NFYC	HLA-DRB3
NFYC	HLA-DRB4
RFX5	CD74
FOS	GSTP1
NFIC	HBA2
JUND	IVL
ATF1	JUN
CREB1	JUN
ERG	JUN
ETS1	TNF
NFKB1	TP53
PAX5	TP53
CREB1	TRH
