TUBB1	SNCA
SNCA	PTK2
PTK2	TP53
SNCA	MAPK8
MAPK8	SP1
SNCA	HSPA8
HSPA8	RELA
SNCA	MEF2D
MEF2D	HDAC3
HDAC3	E2F4
SNCA	AKT1
AKT1	CREBBP
SNCA	CLTC
CLTC	EP300
SNCA	MAPK1
MAPK1	HIF1A
EP300	ARNT
MAPK8	JUN
SNCA	APP
APP	MAPK7
MAPK7	ETS1
SNCA	UBC
UBC	ATF6
AKT1	CREB1
PTK2	MMM1
MMM1	ATF1
APP	MYC
SNCA	SIAH1
SIAH1	TFDP1
SNCA	HSPA4
HSPA4	NFKB1
BCL2	TP53
BCL2	BRCA1
BRCA1	SP1
BRCA1	RELA
BRCA1	E2F4
BRCA1	CREBBP
BRCA1	EP300
BCL2	HIF1A
BRCA1	ARNT
BRCA1	JUN
BRCA1	ETS1
BRCA1	GTF2I
GTF2I	ATF6
BRCA1	CREB1
BRCA1	ATF1
BCL2	MYC
TP53	TFDP1
BCL2	CHUK
CHUK	NFKB1
NR1I2	PSMC5
PSMC5	TP53
NR1I2	RXRA
RXRA	SP1
NR1I2	NCOR2
NCOR2	RELA
NCOR2	E2F4
NR1I2	NCOA3
NCOA3	CREBBP
RXRA	EP300
EP300	HIF1A
NR1I2	NCOA1
NCOA1	ARNT
NCOR2	JUN
NCOA3	ETS1
NCOR2	SRF
SRF	ATF6
NR1I2	NCOR1
NCOR1	CREB1
NCOA3	BRCA1
NR1I2	TFAP2C
TFAP2C	MYC
CREBBP	TFDP1
NCOA3	NFKB1
MAP4	SERBP1
SERBP1	TP53
TP53	SP1
MAP4	LSM3
LSM3	SNRPD3
SNRPD3	RELA
LSM3	LSM1
LSM1	RBL2
RBL2	E2F4
SERBP1	DAXX
DAXX	CREBBP
TP53	EP300
TP53	HIF1A
LSM1	HSP90AA1
HSP90AA1	ARNT
SERBP1	PIAS1
PIAS1	JUN
DAXX	ETS1
MAP4	LSM8
LSM8	GTF2I
DAXX	CREB1
LSM1	GAS1
GAS1	ATF1
GTF2I	MYC
SERBP1	RPS3
RPS3	NFKB1
MAP2	PSMC5
PSMC5	SP1
MAP2	DHX9
DHX9	RELA
MAP2	NEDD4
NEDD4	SMAD3
SMAD3	E2F4
MAP2	APP
APP	CDC20
CDC20	CREBBP
MAP2	ACTB
ACTB	EP300
APP	MCM7
MCM7	HIF1A
SP1	ARNT
APP	MAPK8
APP	SYVN1
SYVN1	ATF6
APP	KAT5
KAT5	CREB1
MAP2	RPL23A
RPL23A	SSB2
SSB2	ATF1
CDC20	TFDP1
APP	GSK3B
GSK3B	NFKB1
MAPT	YWHAZ
YWHAZ	TP53
MAPT	SYK
SYK	SP1
MAPT	HSPA8
YWHAZ	ENO1
ENO1	E2F4
YWHAZ	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
MAPT	SQSTM1
SQSTM1	HIF1A
MAPT	YWHAQ
YWHAQ	NCOA1
MAPT	ABL1
ABL1	JUN
TP53	ETS1
MAPT	UBC
ABL1	CREB1
ABL1	BRCA1
MAPT	GSK3B
GSK3B	MYC
CREBBP	TFRC
EP300	TFRC
HIF1A	TFRC
ARNT	TFRC
MYC	CKS1B
MYC	CKS2
NFKB1	B2M
TFDP1	CAV1
E2F4	CAV1
SP1	CAV1
TP53	CAV1
TP53	PLK1
RELA	S100A6
ATF1	TFRC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
ATF6	XBP1
