ACHE	COL1A1
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
COL1A1	IGFBP3
IGFBP3	CD44
CD44	EP300
COL1A1	ITGB1
ITGB1	GNB2L1
GNB2L1	HIF1A
UBL4A	HSP90AA1
HSP90AA1	ARNT
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
IGFBP3	FN1
FN1	UBE2L3
UBE2L3	FOS
UBL4A	RAB1A
RAB1A	CREB1
CD44	STAT3
ITGB1	PTK2
PTK2	SAE1
SAE1	ETV4
UBL4A	NPM1
NPM1	TFAP2A
COL1A1	MMP2
MMP2	TGFB1
TGFB1	SMAD3
IGF1R	MDM2
MDM2	JUND
FN1	SMAD4
PTK2	STAT1
IGF1R	TP53
TP53	ETS1
UBL4A	SMN1
SMN1	RXRA
FN1	RARA
RARA	RXRB
RARA	RXRG
UBL4A	TXN
TXN	NFKB1
UBL4A	KPNA2
KPNA2	RELA
CHRNA1	CHRNG
CHRNG	KRT31
KRT31	HDAC4
HDAC4	SP1
CHRNG	ACTL6B
ACTL6B	CTBP1
CTBP1	CREBBP
KRT31	TSG101
TSG101	EP300
HDAC4	HIF1A
EP300	ARNT
KRT31	PIN1
PIN1	JUN
EP300	FOS
EP300	CREB1
EP300	STAT3
HDAC4	ATXN1
ATXN1	ETV4
EP300	TFAP2A
PIN1	SMAD3
EP300	JUND
EP300	SMAD4
HDAC4	STAT1
EP300	ETS1
EP300	RXRA
TSG101	NR3C1
NR3C1	RXRB
KRT31	LMO4
LMO4	PPARG
PPARG	RXRG
HDAC4	NFKB1
PIN1	RELA
CHRND	CHRNA1
CHRNE	CHRNA1
CHRNA3	Ubqln1
Ubqln1	Bcr
Bcr	Rac1
Rac1	Mapk1
Mapk1	TP53
TP53	SP1
Rac1	dsh
dsh	MED25
MED25	CREBBP
Rac1	Tuba1a
Tuba1a	HDAC6
HDAC6	EP300
Mapk1	HIF1A
HIF1A	ARNT
HIF1A	JUN
Rac1	Traf6
Traf6	ECSIT
ECSIT	RELA
RELA	FOS
TP53	CREB1
HIF1A	STAT3
Traf6	Akt1
Akt1	HTT
HTT	ETV4
TP53	TFAP2A
TP53	SMAD3
Traf6	UBE2D3
UBE2D3	MDM2
Rac1	Pak
Pak	OS9
OS9	SERPINA1
SERPINA1	SMAD4
Rac1	Jra
Jra	Egfr
Egfr	STAT1
MED25	RXRA
Traf6	Nr0b2
Nr0b2	RARA
Nr0b2	RXRG
ECSIT	NFKB1
CHRNA4	YWHAH
YWHAH	YWHAZ
YWHAZ	CTNNB1
CTNNB1	SP1
YWHAH	ING1
ING1	CREBBP
YWHAH	PAK2
PAK2	EP300
CTNNB1	HIF1A
YWHAH	SNRPE
SNRPE	HSP90AA1
YWHAH	ABL1
ABL1	JUN
ABL1	FOS
ABL1	CREB1
YWHAZ	PRKCD
PRKCD	STAT3
YWHAZ	RFWD2
RFWD2	ETV4
YWHAZ	TP53
YWHAH	CBL
CBL	SMAD3
RFWD2	JUND
YWHAH	CYFIP2
CYFIP2	SMAD4
YWHAH	PIK3CA
PIK3CA	STAT1
CBL	SRC
SRC	RXRA
YWHAH	YWHAG
YWHAG	AKAP13
AKAP13	RXRB
YWHAZ	AJUBA
AJUBA	RXRG
YWHAZ	COPS5
COPS5	NFKB1
YWHAZ	PRMT5
PRMT5	RELA
CHRNA7	FYN
FYN	CTNNB1
CTNNB1	CREBBP
FYN	BCL3
BCL3	EP300
FYN	HSP90AA1
BCL3	JUN
BCL3	FOS
FYN	NR3C1
NR3C1	CREB1
BCL3	STAT3
FYN	GNB2L1
GNB2L1	TP63
TP63	ETV4
NR3C1	SMAD3
FYN	PRKCQ
PRKCQ	JUND
BCL3	STAT1
BCL3	RXRA
CTNNB1	PPARG
BCL3	NFKB1
NR3C1	RELA
CHRNA9	POM121
POM121	BRCA1
BRCA1	SP1
CHRNA9	EIF2AK3
EIF2AK3	NFE2L2
NFE2L2	CREBBP
EIF2AK3	HSPA5
HSPA5	EP300
BRCA1	HIF1A
BRCA1	ARNT
BRCA1	JUN
CHRNA9	CHEK1
CHEK1	RELA
BRCA1	CREB1
CHEK1	RB1
RB1	STAT3
CHRNA9	RER1
RER1	HAP1
HAP1	HTT
BRCA1	TFAP2A
BRCA1	SMAD3
CHRNA9	KIF5B
KIF5B	COPS5
COPS5	JUND
COPS5	SMAD4
CHRNA9	MAVS
MAVS	STAT1
BRCA1	ETS1
RELA	RXRA
CHRNA9	PBXIP1
PBXIP1	MDFI
MDFI	NR1H2
NR1H2	RXRB
CHEK1	CUL1
CUL1	RXRG
CHRNB3	TYRO3
TYRO3	SRC
SRC	STAT3
STAT3	SP1
SRC	CREBBP
TYRO3	PIK3R1
PIK3R1	EP300
STAT3	HIF1A
STAT3	JUN
CREBBP	FOS
CREBBP	CREB1
SRC	GRB2
GRB2	HTT
SRC	TP53
CREBBP	SMAD3
SRC	MDM2
SRC	AR
AR	SMAD4
SRC	STAT1
CREBBP	ETS1
SRC	THRB
THRB	RXRB
THRB	RXRG
STAT3	NFKB1
STAT3	RELA
CHRNB4	Ubqln1
ELK1	CCND2
MAPK8	JUN
MAPK10	JUN
STAT1	MYD88
CREBBP	ANGPT4
CREBBP	PFKFB3
CREBBP	TEK
EP300	ANGPT4
EP300	PFKFB3
EP300	TEK
HIF1A	ANGPT4
HIF1A	PFKFB3
IRF8	IL12B
ATF4	BCL2
PPARA	APOA2
PPARD	ACADL
PPARG	PCK1
RXRA	CYP27A1
RXRA	SCP2
RXRB	GK
RXRB	ACADL
RXRB	APOA2
JUN	CYP11A1
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
