MAOB	NFYB
NFYB	SP1
NFYB	EP300
EP300	RARA
EP300	TFAP2A
EP300	NCOA1
NCOA1	RARB
EP300	HIF1A
EP300	NCOA3
NCOA3	RARG
EP300	ETS2
ETS2	ERG
EP300	RELA
RELA	PPARA
NFYB	TAF6
TAF6	YAP1
COMT	KRT31
KRT31	HDAC4
HDAC4	SP1
KRT31	PIN1
PIN1	RARA
COMT	TRIP13
TRIP13	MSH2
MSH2	TP53
TP53	TFAP2A
KRT31	SMARCE1
SMARCE1	RARB
HDAC4	HIF1A
TRIP13	LNX1
LNX1	ACY3
ACY3	RARG
TRIP13	GPSM1
GPSM1	USP9X
USP9X	ERG
TRIP13	TTC4
TTC4	HSP90AA1
HSP90AA1	PPARA
PIN1	YAP1
EP300	ENO2
ARNT	ENO2
FOS	PGF
FOS	VEGFB
MAPK3	IL12A
MAPK9	NOS2
POU2F2	CD79A
POU2F1	CD79B
SP1	HSPA8
SP1	IL2
NFKB1	IL2RA
REL	IL2RA
RELA	IL2RA
STAT1	IL2RA
STAT3	IL2RA
CEBPE	MYC
