SLC6A4	SNCA
SNCA	MAPK8
MAPK8	SP1
SNCA	AKT1
AKT1	CREBBP
SNCA	CLTC
CLTC	EP300
SNCA	MAPK1
MAPK1	HIF1A
EP300	ARNT
MAPK8	JUN
MAPK1	PPARG
MAPK1	RXRA
SNCA	APP
APP	AKAP13
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
AKT1	CREB1
AKAP13	PPARA
SNCA	EEF1A1
EEF1A1	GADD45G
GADD45G	PPARD
AKT1	KAT2B
KAT2B	PTF1A
PTF1A	RBPJL
SNCA	HSPB1
HSPB1	RBPJ
CLOCK	PER3
FOSB	GRIA2
ELK1	BIRC2
ATF2	PCNA
EGR3	FASLG
RELA	MMP9
CREBBP	EDN1
CREBBP	FIGF
CREBBP	PGF
EP300	EDN1
EP300	FIGF
EP300	PGF
HIF1A	EDN1
HIF1A	FIGF
NKX2-2	IAPP
NEUROG3	NEUROD1
ETS1	VEGFA
AR	KLK3
MYC	MMP2
MYC	VEGFA
NFKB1	NOS2
ATF2	MCL1
CREB3L4	MCL1
FOXO3	G6PC
PPARA	ANGPTL4
PPARA	SCP2
PPARA	ACOX2
PPARG	SCD5
RXRA	NR1H3
RXRA	CPT1C
CREB1	HLA-DPB1
MAPK8	TNF
USF1	APOC3
USF2	APOC3
JUND	IL5
POU2F1	IL5
POU2F2	IL5
SPI1	IL5
JUN	TXN
USF2	TYMS
