PDE4A	SQSTM1
SP3	CTSL
CREB1	CYP11A1
JUN	CYP11A1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP17A1
SP3	CYP17A1
PPARA	CYP1A1
SP1	EGFR
JUN	F3
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
ETS2	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
PPARA	GADD45A
PPARG	GADD45A
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
NFIC	HRAS
E2F4	HSP90B1
NFIC	HSPA1A
TFAP2A	HSPA1A
SP1	HSPA8
CREB1	IFNG
SPI1	IL1B
RELA	IL2
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
ETS1	MYB
ETV4	MYB
MYB	MYB
CREB1	PLAT
JUND	PLAT
JUN	TFPI2
NFIC	TFPI2
ETV4	TNF
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
