ACHE	COL1A1
COL1A1	UBL4A
UBL4A	TXN
TXN	NFKB1
UBL4A	KPNA2
KPNA2	RELA
UBL4A	HSP90AA1
HSP90AA1	PPARA
COL1A1	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
UBL4A	SMN1
SMN1	RXRA
COL1A1	IGFBP3
IGFBP3	FN1
FN1	RARA
RARA	RXRB
RARA	RXRG
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
FN1	UBE2L3
UBE2L3	FOS
UBL4A	RAB1A
RAB1A	CREB1
UBL4A	NCL
NCL	SP1
IGF1R	TP53
TP53	ETS1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
ITGB1	GNB2L1
GNB2L1	HIF1A
HSP90AA1	ARNT
FN1	HDAC1
HDAC1	GLI1
HDAC1	GLI2
PRKCA	GLI3
ITGB1	TUBA1A
TUBA1A	MYC
COL1A1	MMP2
MMP2	TGFB1
TGFB1	SMAD2
SMAD2	RARB
UBL4A	C1QBP
C1QBP	MRPL12
MRPL12	RARG
NFKB1	BIRC2
NFKB1	XIAP
GLI1	BMP4
GLI1	WNT2
GLI1	WNT3A
GLI2	WNT16
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
TCF7L2	MYC
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
ATF2	PCNA
CREBBP	EDN1
EP300	EDN1
HIF1A	EDN1
STAT4	CCND3
STAT5B	CCND2
RELA	CCL4
RELA	TRAF2
RELB	CXCL12
PIK3CG	AKT3
PIK3R2	PDPK1
PIK3R3	AKT3
EPAS1	TGFA
ETS1	VEGFA
MAX	CKS1B
MAX	CKS2
NFKB1	NOS2
NFKB2	TRAF5
NFKB2	TRAF4
FOXO3	G6PC
PPARA	DBI
PPARA	ACSL1
PPARA	ACOX2
PPARG	ACSL1
PPARG	ACSBG1
RXRA	CPT1C
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA14
NFKB1	CEBPB
NFKB1	IL1A
SP3	DKC1
STAT5A	EGFR
STAT5B	EGFR
TFAP2A	EGFR
RELA	F3
CEBPB	F8
AR	F9
RARA	GADD45B
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
E2F4	RBL1
EGR1	RELA
NFKB1	SAA2
SPI1	SCARB1
POU2F1	SFTPA1
ETS1	SLC26A3
PAX2	TP53
PAX8	TP53
STAT3	TRH
SMAD3	ZFP36
