ACHE	COL1A1
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
COL1A1	P4HB
P4HB	CALU
CALU	HSF1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
UBL4A	TXN
TXN	NFKB1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	POU2F1
IGF1R	TP53
TP53	EGR1
UBL4A	RAB1A
RAB1A	CREB1
UBL4A	HSP90AA1
HSP90AA1	NFIC
COL1A1	MMP2
MMP2	TGFB1
TGFB1	SMAD3
TP53	ETS1
IGFBP3	FN1
FN1	SMAD4
COL1A1	ITGB1
ITGB1	PTK2
PTK2	SAE1
SAE1	ETV4
CHRNA1	CHRNG
CHRNG	KRT31
KRT31	HDAC4
HDAC4	SP1
KRT31	TSG101
TSG101	DAXX
DAXX	HSF1
KRT31	PIN1
PIN1	JUN
HDAC4	NFKB1
TSG101	NR3C1
NR3C1	POU2F1
KRT31	SNAI1
SNAI1	EGR1
TSG101	EP300
EP300	CREB1
KRT31	CDK18
CDK18	HSP90AA1
PIN1	SMAD3
EP300	ETS1
EP300	SMAD4
HDAC4	ATXN1
ATXN1	ETV4
CHRND	CHRNA1
CHRNE	CHRNA1
CHRNA3	Ubqln1
Ubqln1	Bcr
Bcr	Rac1
Rac1	Mapk1
Mapk1	TP53
TP53	SP1
Rac1	Traf6
Traf6	1-Dec
1-Dec	HDAC2
HDAC2	HSF1
Mapk1	HIF1A
HIF1A	JUN
Traf6	ECSIT
ECSIT	NFKB1
ECSIT	RELA
RELA	POU2F1
TP53	CREB1
Traf6	Stub1
Stub1	HSP90AA1
TP53	SMAD3
Rac1	Pak
Pak	OS9
OS9	SERPINA1
SERPINA1	SMAD4
Traf6	Akt1
Akt1	HTT
HTT	ETV4
CHRNA4	YWHAH
YWHAH	YWHAZ
YWHAZ	CTNNB1
CTNNB1	SP1
YWHAZ	BAG3
BAG3	HSF1
YWHAH	ABL1
ABL1	JUN
YWHAZ	COPS5
COPS5	NFKB1
YWHAH	TLX2
TLX2	POU2F1
YWHAZ	TP53
ABL1	CREB1
YWHAH	SNRPE
SNRPE	HSP90AA1
YWHAH	CBL
CBL	SMAD3
YWHAH	CYFIP2
CYFIP2	SMAD4
YWHAZ	RFWD2
RFWD2	ETV4
CHRNA7	FYN
FYN	CTNNB1
FYN	HSP90AA1
HSP90AA1	HSF1
FYN	BCL3
BCL3	JUN
BCL3	NFKB1
FYN	NR3C1
FYN	IL1B
IL1B	EGR1
NR3C1	CREB1
NR3C1	SMAD3
BCL3	EP300
FYN	GNB2L1
GNB2L1	TP63
TP63	ETV4
CHRNA9	POM121
POM121	BRCA1
BRCA1	SP1
CHRNA9	YKT6
YKT6	ACT1
ACT1	HSF1
BRCA1	JUN
CHRNA9	KIF5B
KIF5B	COPS5
BRCA1	POU2F1
CHRNA9	CHEK1
CHEK1	RELA
RELA	EGR1
BRCA1	CREB1
CHEK1	HSP90AA1
BRCA1	SMAD3
BRCA1	ETS1
COPS5	SMAD4
CHRNA9	RER1
RER1	HAP1
HAP1	HTT
CHRNB3	TYRO3
TYRO3	SRC
SRC	STAT3
STAT3	SP1
SRC	STAT1
STAT1	HSF1
STAT3	JUN
STAT3	NFKB1
TYRO3	HDLBP
HDLBP	XRCC5
XRCC5	POU2F1
SRC	CREBBP
CREBBP	EGR1
CREBBP	CREB1
SRC	GRB2
GRB2	HSP90AA1
CREBBP	SMAD3
CREBBP	ETS1
SRC	AR
AR	SMAD4
GRB2	HTT
CHRNB4	Ubqln1
TNF	VCAM1
SOS1	SPRY3
TP53	CAV1
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
ETS1	LCK
SP1	LDHA
CREM	LDHC
EGR1	LHB
TFAP2A	NRAS
