AMY2A	IGF1R
IGF1R	ESR1
ESR1	SP1
IGF1R	CSK
CSK	JUN
IGF1R	TP53
TP53	ETS1
TP53	TFAP2A
IGF1R	MDM2
MDM2	JUND
TP53	CREB1
IGF1R	APP
APP	MAPK7
MAPK7	FOS
IGF1R	SOCS3
SOCS3	NFKB1
IGF1R	EGFR
EGFR	UBA2
UBA2	ETV4
APP	CSNK1D
CSNK1D	SMAD4
IGF1R	ARRB2
ARRB2	STAT1
CSK	CREBBP
ESR1	EP300
ESR1	HIF1A
EGFR	PML
PML	ARNT
EGFR	STAT3
IGF1R	NEDD4
NEDD4	PPARG
APP	AKAP13
AKAP13	PPARA
TP53	ETS2
GAA	STAT2
STAT2	EP300
EP300	SP1
EP300	JUN
EP300	ETS1
EP300	TFAP2A
EP300	JUND
EP300	CREB1
EP300	FOS
EP300	NFKB1
EP300	TP63
TP63	ETV4
EP300	SMAD4
STAT2	STAT1
STAT2	CREBBP
EP300	HIF1A
EP300	ARNT
GAA	HIVEP1
HIVEP1	STAT3
EP300	PPARG
GAA	GOT1
GOT1	UBE2H
UBE2H	RELA
RELA	PPARA
EP300	TP53
EP300	ETS2
GLI3	PTCH1
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
STAT4	SOCS5
PAX6	PDX1
MITF	TYRP1
ETS1	CDK4
RARA	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C2
POU2F1	AKR1C3
SP1	ALDH3A1
SP1	ALDOA
SMAD1	ANKRD1
USF1	APOC3
USF2	APOC3
USF1	CCND1
POU2F2	CD79A
POU2F1	CD79B
SP3	DNASE2
SP3	IGFBP3
TFAP2A	IGFBP3
CEBPB	IL1A
ATF1	IL1B
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
CREB1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
JUN	TFPI2
