HTR2A	CBL
CBL	SMAD3
SMAD3	JUN
CBL	SRC
SRC	RXRA
CBL	CTNNB1
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
CBL	ABL1
ABL1	CREB1
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
DRD2	FLNA
FLNA	RBM39
RBM39	JUN
FLNA	LMNA
LMNA	PML
PML	RXRA
FLNA	RANBP2
RANBP2	AKAP13
AKAP13	RXRB
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
FLNA	REL
REL	NFKB1
REL	RELA
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
DRD3	EPB41L1
EPB41L1	COPS5
COPS5	JUN
DRD3	GIPC1
GIPC1	OGT
OGT	RELA
RELA	RXRA
GIPC1	MMS19
MMS19	THRB
THRB	RXRB
THRB	RXRG
GIPC1	MCM7
MCM7	FHL2
FHL2	CREB1
COPS5	NFKB1
MCM7	RB1
RB1	PPARG
DRD4	ARRB2
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	MAPK1
MAPK1	RXRA
DRD4	STUB1
STUB1	NR3C1
NR3C1	RXRB
ARRB2	RPA1
RPA1	CUL1
CUL1	RXRG
ARRB2	AKT1
AKT1	CREB1
ARRB2	NFKBIA
NFKBIA	NFKB1
STUB1	RELA
ARRB2	XRCC6
XRCC6	PPARG
ADRA1B	AP2M1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	CSNK2B
CSNK2B	RXRA
AP2M1	SFPQ
SFPQ	NR3C1
SFPQ	PPARG
AP2M1	CLTC
CLTC	EP300
EP300	CREB1
EP300	NFKB1
AP2M1	HSPA8
HTR1D	HTR1B
HTR1B	MDFI
MDFI	PIN1
PIN1	JUN
MDFI	NR1H2
NR1H2	RXRA
NR1H2	RXRB
NR1H2	RXRG
MDFI	KAT5
KAT5	CREB1
KAT5	EP300
KAT5	RELA
PIN1	PPARG
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
ADRA2A	UCHL1
UCHL1	UBE2I
UBE2I	RXRA
GNAI2	MDFI
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RXRG
UCHL1	TP53
TP53	CREB1
UCHL1	COPS5
GNAI2	NPM1
NPM1	RELA
UCHL1	CTNNB1
ADRA2B	UCHL1
UBE2I	JUN
TP53	RELA
ADRA2C	UCHL1
HTR2C	DLG4
DLG4	MDM2
MDM2	JUN
DLG4	KCNA4
KCNA4	SRC
DLG4	FYN
FYN	NR3C1
MDM2	CUL1
HTR2C	CALM1
CALM1	AKT1
CALM1	DCUN1D1
DCUN1D1	NFKB1
MDM2	RELA
DLG4	PRKCA
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
TRIP6	SRC
HTR1A	HTR1D
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	UBE2C
UBE2C	RELA
GNAI3	XPO1
XPO1	PPARG
DRD1	RANBP9
RANBP9	NR3C1
NR3C1	JUN
RANBP9	UBE2I
RANBP9	THRB
NR3C1	CREB1
NR3C1	NFKB1
RANBP9	ESR1
ESR1	RELA
NR3C1	PPARG
TNF	VCAM1
TFDP2	CCNE2
TP53	CDKN1A
NFKB1	CCL5
MAPK12	IL8
ATF4	BCL2
PPARD	ACADL
RXRA	CYP27A1
RXRB	ACSBG1
CREB5	AQP2
NFAT5	PTGS2
TP53	CHEK1
ATF2	IFNG
TFAP2A	NRAS
ELK1	TNF
ETS1	TNF
