HPGDS	ARRDC3
ARRDC3	ADRB2
ADRB2	STAT3
ARRDC3	ITCH
ITCH	JUN
ARRDC3	ARRB2
ARRB2	YWHAQ
YWHAQ	YAP1
ARRB2	STAT1
ARRDC3	HGS
HGS	EGFR
EGFR	SOS1
EGFR	SOS2
ARRB2	ALYREF
ALYREF	LEF1
HGS	DAZAP2
DAZAP2	TCF7
DAZAP2	TCF7L2
DAZAP2	TCF7L1
HGS	INSR
INSR	TEAD1
ARRDC3	OTUB2
OTUB2	TRIM27
TRIM27	TEAD4
ADRB2	PHB2
PHB2	TEAD3
ARRB2	MAPK1
MAPK1	STAT5A
INSR	STAT5B
STAT1	STAT2
ADRB2	STAT4
ARRB2	EEF1A1
EEF1A1	STAT6
ITCH	TP53
MAPK1	SP1
ARRB2	IGF1R
IGF1R	ESR1
ARRB2	NPM1
NPM1	TFAP2A
ARRDC3	NEDD4
NEDD4	SMAD3
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	CAPN1
CAPN1	HIF1A
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
ARRB2	XRCC6
XRCC6	POU2F1
XRCC6	POU2F2
MAPK1	ELK1
TP53	ETS1
NEDD4	PPARG
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	HNRNPD
HNRNPD	MYC
MAPK1	ATF2
ARRB2	AKT1
AKT1	CREB1
MAPK1	RXRA
PPARG	RXRB
PPARG	RXRG
ARRB2	C1QBP
C1QBP	CEBPA
XRCC6	PGR
PPARA	CPT1B
GLI2	WNT2B
GLI3	WNT16
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
LEF1	MYC
TCF7	BIRC5
MAPK14	CXCL1
CTNNB1	CCND2
IRF3	IFNB1
NFKB1	TNF
MAPK10	SMAD4
CREBBP	ANGPT1
CREBBP	SERPINE1
CREBBP	PFKFB4
EP300	ANGPT1
EP300	SERPINE1
EP300	PFKFB4
HIF1A	ANGPT1
HIF1A	SERPINE1
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
JUN	VEGFB
MYC	MMP1
NFKB2	PTGS2
RELA	TRAF4
PPARA	NR1H3
PPARA	ACAA1
PPARG	SORBS1
PPARG	LPL
RFX5	HLA-DMB
RFXAP	HLA-DPA1
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
MAPK12	IL1A
MAPK12	IL1B
USF1	CEACAM1
USF2	CEACAM1
RELA	FN1
ESR1	FOS
ESR2	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
ETS1	FOSL1
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
NFKB1	ICAM1
ESR2	JUN
ETS2	JUN
JUN	JUN
TP53	NME1
POU2F2	SPP1
JUN	TFF1
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
ETS1	VWF
NFIC	VWF
