HTR2A	CBL
CBL	SMAD3
SMAD3	JUN
CBL	CTNNB1
CTNNB1	SP1
CTNNB1	HIF1A
CBL	HSPA4
HSPA4	NFKB1
CBL	GRB2
GRB2	EP300
EP300	EGR1
GRB2	HSP90AA1
HSP90AA1	NFIC
DRD2	FLNA
FLNA	RBM39
RBM39	JUN
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
FLNA	REL
REL	NFKB1
CDKN2A	EGR1
DRD2	CALM1
CALM1	HSP90AA1
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
SMAD3	HIF1A
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
YWHAQ	PSMA3
PSMA3	EGR1
YWHAQ	SMURF1
SMURF1	NFIC
HTR1B	MDFI
MDFI	PIN1
PIN1	JUN
MDFI	VHL
VHL	SP1
VHL	HIF1A
MDFI	KAT5
KAT5	EP300
EP300	NFKB1
VHL	HSP90AA1
HTR1D	HTR1B
HTR1E	MEOX2
MEOX2	RELA
RELA	JUN
HTR1E	PSMC4
PSMC4	PSMC5
PSMC5	SP1
HTR1E	PSMC3
PSMC3	HIF1A
PSMC4	PSMD10
PSMD10	NFKB1
PSMC4	PSMA3
HTR1E	ATP5B
ATP5B	HSP90AA1
HTR2C	DLG4
DLG4	MDM2
MDM2	JUN
HTR2C	CALM1
CALM1	ESR1
ESR1	SP1
MDM2	HIF1A
CALM1	DCUN1D1
DCUN1D1	NFKB1
DLG4	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
HTR6	COPS5
COPS5	JUN
HTR6	CLTC
CLTC	EP300
EP300	SP1
HTR6	ATM
ATM	HIF1A
COPS5	NFKB1
COPS5	HSP90AA1
HTR7	CUL3
CUL3	ATF2
ATF2	JUN
CUL3	CTNNB1
CUL3	NFKB1
CUL3	GRB2
CUL3	HSP90AA1
DRD1	RANBP9
RANBP9	NR3C1
NR3C1	JUN
RANBP9	ESR1
ESR1	HIF1A
NR3C1	NFKB1
ESR1	EP300
ESR1	SMURF1
DRD5	GNA13
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	SP1
HSP90AA1	HIF1A
GNA13	MAP3K5
MAP3K5	EP300
DRD3	EPB41L1
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	SP1
MCM7	HIF1A
GIPC1	OGT
OGT	RELA
RELA	EGR1
EPB41L1	COPS3
COPS3	HSP90AA1
DRD4	ARRB2
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	MAPK1
MAPK1	SP1
DRD4	STUB1
STUB1	HIF1A
ARRB2	NFKBIA
NFKBIA	NFKB1
DRD4	GRB2
ADRA1B	AP2M1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	SFPQ
SFPQ	SP1
AP2M1	CLTC
EP300	HIF1A
AP2M1	EEF1A1
EEF1A1	HSP90AA1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
ADRA2A	UCHL1
UCHL1	CTNNB1
UCHL1	COPS5
UCHL1	TP53
TP53	EGR1
UCHL1	HSP90AA1
ADRA2B	UCHL1
UCHL1	UBE2I
UBE2I	JUN
ADRA2C	UCHL1
CHRM1	GPRASP2
GPRASP2	AP1G1
GPRASP2	TXN
TXN	NFKB1
NFKB1	SP1
CHRM1	GPRASP1
GPRASP1	OPRD1
OPRD1	HSPA4
HSPA4	HIF1A
TXN	TP53
GPRASP2	AGO2
AGO2	HSP90AA1
CHRM2	SET
SET	NR3C1
SET	TP53
TP53	SP1
TP53	HIF1A
NR3C1	HSP90AA1
CHRM3	SET
CHRM3	CSNK1A1
CSNK1A1	HSP90AA1
JUN	CCND3
HIF1A	ENO3
NFKB1	TRAF2
HIF1A	TGFB3
JUN	MMP2
NFIC	CGA
JUN	GJA1
SP1	GJA1
SP1	MMP2
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
SP1	TFPI2
