AMY2A	IGF1R
IGF1R	APP
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
IGF1R	ESR1
ESR1	NCOR2
NCOR2	RXRG
ESR1	HIF1A
IGF1R	EGFR
EGFR	STAT3
IGF1R	NEDD4
NEDD4	PPARG
IGF1R	TP53
TP53	ETS1
GAA	STAT2
STAT2	EP300
EP300	RXRA
EP300	NR3C1
NR3C1	RXRB
EP300	PPARG
PPARG	RXRG
EP300	HIF1A
GAA	HIVEP1
HIVEP1	STAT3
EP300	ETS1
CREBBP	PGF
EP300	HK1
TEAD4	CCND2
MYC	VEGFB
NFKB2	BIRC3
FOXO3	BCL2L11
CREB3L3	MCL1
CREB3L1	BCL2
PPARA	SCD5
PPARD	PDPK1
PPARD	ACOX2
RXRA	SLC27A4
RXRA	FABP3
RXRA	ACSL4
LEF1	PPARD
MYB	CDK1
SP1	EGFR
CEBPB	IL6
