SLC18A1	APOB
APOB	SMAD3
SMAD3	CEBPB
SMAD3	EP300
EP300	STAT3
APOB	VCP
VCP	TP53
EP300	REL
SMAD3	HIF1A
SMAD3	CREBBP
SMAD3	PML
PML	ARNT
SMAD3	FOXO3
SMAD3	SP1
SMAD3	FOS
EP300	NFKB1
EP300	CREB1
PML	RELA
SMAD3	JUN
SMAD3	ATF2
CREB1	NPY
ATF2	NPY
TP53	SFN
NFKB1	CCL5
RELA	CCL5
TP53	CDKN1B
CREBBP	CDKN1B
EP300	CDKN1B
HIF1A	CDKN1B
ARNT	CDKN1B
NFKB1	CCL4
RELA	CCL4
TP53	PPM1D
FOXO3	CDKN1B
FOS	CCL4
FOS	CCL5
JUN	CCL4
JUN	CCL5
CREB1	HLA-DMA
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
NFKB1	FBP1
RELA	HDAC1
SP1	HSPB1
SP1	KRT18
JUN	MGP
FOS	NQO1
TP53	PTTG1
CREB1	SLC9A1
SP1	TPI1
