ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
COL1A1	UBL4A
UBL4A	NPM1
NPM1	TFAP2A
UBL4A	NCL
NCL	SP1
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	ITGB1
ITGB1	PTK2
PTK2	SAE1
SAE1	ETV4
IGF1R	CSK
CSK	JUN
IGFBP3	FN1
FN1	UBE2L3
UBE2L3	FOS
UBL4A	HSP90AA1
HSP90AA1	PPARA
UBL4A	SMN1
SMN1	RXRA
FN1	RARA
RARA	RXRB
RARA	RXRG
TP53	ETS1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
ITGB1	GNB2L1
GNB2L1	HIF1A
HSP90AA1	ARNT
HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CBL	CTNNB1
CTNNB1	SP1
CBL	ABL1
ABL1	CREB1
GRB2	HTT
HTT	ETV4
CBL	SMAD3
SMAD3	JUN
SMAD3	FOS
GRB2	HSP90AA1
CBL	SRC
SRC	RXRA
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
EP300	ETS1
CTNNB1	CREBBP
CTNNB1	HIF1A
EP300	ARNT
TP53	SFN
CREBBP	TIMP1
CREBBP	VEGFC
EP300	TIMP1
EP300	VEGFC
HIF1A	TIMP1
HIF1A	VEGFC
ARNT	TIMP1
ARNT	VEGFC
TP53	SERPINB5
TP53	STEAP3
ETS1	VEGFC
FOS	VEGFC
JUN	VEGFC
PPARA	NR1H3
RXRA	NR1H3
RXRB	NR1H3
RXRG	NR1H3
SP1	AKR1B1
CREB1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
SP1	KRT5
TFAP2A	KRT5
CREB1	TIMP1
ETS1	TIMP1
ETV4	TIMP1
FOS	TIMP1
JUN	TIMP1
SP1	TIMP1
TFAP2A	TIMP1
SP1	TPI1
