KCNJ11	YWHAB
YWHAB	APP
APP	MYC
MYC	TFAP2A
YWHAB	HSPA5
HSPA5	EP300
EP300	USF2
YWHAB	ABL1
ABL1	JUN
YWHAB	HDAC4
HDAC4	NFKB1
YWHAB	PRKCZ
PRKCZ	SP1
YWHAB	YWHAQ
YWHAQ	SMURF1
SMURF1	NFIC
YWHAB	YWHAZ
YWHAZ	TP53
TP53	EGR1
YWHAB	CDK11B
CDK11B	POU2F1
ABL1	CREB1
YWHAB	CSNK2A1
CSNK2A1	ATF1
YWHAB	GRIP1
GRIP1	CREBBP
HDAC4	HIF1A
EP300	ARNT
YWHAB	RFWD2
RFWD2	ETS1
YWHAB	HES1
HES1	STAT3
PRKCZ	RELA
YWHAB	MAP2K2
MAP2K2	MAPK1
MAP2K2	MAPK3
ABL1	FOS
APP	GSK3B
GSK3B	CEBPB
YWHAZ	CTNNB1
CTNNB1	LEF1
YWHAB	HGS
HGS	DAZAP2
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
CTNNB1	TCF7L1
KCNJ1	SLC9A3R1
SLC9A3R1	YWHAZ
TP53	TFAP2A
SLC9A3R1	CAPN1
CAPN1	HIF1A
HIF1A	MYC
SLC9A3R1	YAP1
YAP1	EP300
CAPN1	STAT3
STAT3	JUN
SLC9A3R1	RPS3
RPS3	NFKB1
STAT3	SP1
SLC9A3R1	YWHAQ
YWHAZ	XRCC6
XRCC6	POU2F1
YAP1	CREB1
SLC9A3R1	EZR
EZR	BRCA1
BRCA1	ATF1
KCNJ1	SLC9A3R2
SLC9A3R2	SMARCA2
SMARCA2	CREBBP
HIF1A	ARNT
TP53	ETS1
RPS3	RELA
STAT3	MAPK1
CAPN1	RPS6KA1
RPS6KA1	MAPK3
KCNJ1	SH3RF1
SH3RF1	UBE2D1
UBE2D1	FOS
SMARCA2	CEBPB
YWHAZ	UBC
UBC	DAZAP2
CTNNB1	TCF7L2
ABCC8	RAPGEF4
RAPGEF4	TRAF2
TRAF2	ELAVL1
ELAVL1	TFAP2A
RAPGEF4	RAP1A
RAP1A	BIN1
BIN1	MYC
TRAF2	USF1
USF1	USF2
TRAF2	JUN
RAP1A	HSPA4
HSPA4	NFKB1
RAP1A	HDAC1
HDAC1	SP1
TRAF2	SMURF1
RAP1A	CDC42
CDC42	TP53
HDAC1	POU2F1
HDAC1	CREB1
ABCC8	KCNJ11
HDAC1	CREBBP
HDAC1	EP300
RAP1A	FAF1
FAF1	HIF1A
TRAF2	PIAS2
PIAS2	ARNT
JUN	ETS1
RAP1A	NTRK1
NTRK1	STAT3
NTRK1	RELA
NTRK1	MAPK1
RAP1A	RAF1
RAF1	MAPK3
TRAF2	UBE2D1
RAP1A	SMARCA2
CDC42	RUVBL1
RUVBL1	LEF1
TRAF2	UBC
TRAF2	USP4
USP4	TCF7L2
NTRK1	CTNNB1
ELK1	BIRC2
NFAT5	TNF
ATF6B	IL8
NFKB1	TNF
RELA	MMP9
CREB5	IL8
CREBBP	ENO1
CREBBP	SERPINE1
CREBBP	PGF
CREBBP	VEGFC
EP300	ENO1
EP300	SERPINE1
EP300	PGF
EP300	VEGFC
HIF1A	ENO1
HIF1A	SERPINE1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS2
STAT6	CCND1
CREB1	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RXRG	EHHADH
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
IRF7	IFNA8
IRF7	IFNA14
MAPK9	NOS2
MAPK10	IL1B
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
LEF1	JUN
LEF1	PPARD
TP53	MKI67
TP53	APAF1
USF1	XRCC6
USF1	SERPINE1
SP1	CYP17A1
SP3	CYP17A1
PPARA	CYP1A1
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
