PDE4A	SQSTM1
SQSTM1	HIF1A
SQSTM1	MAPK1
MAPK1	JUN
SQSTM1	BAG3
BAG3	TFAP2A
MAPK1	PPARG
SQSTM1	NCOR1
NCOR1	ETS1
MAPK1	SP1
SQSTM1	YWHAZ
YWHAZ	TP53
YWHAZ	ABL1
ABL1	FOS
MAPK1	ESR1
SQSTM1	BCL2
BCL2	MYC
MAPK1	CREBBP
MAPK1	EP300
HIF1A	ARNT
MAPK1	RXRA
SQSTM1	RARA
RARA	RXRB
SQSTM1	CUL1
CUL1	RXRG
SQSTM1	ISG15
ISG15	SMAD4
SQSTM1	CAV1
CAV1	SMAD2
MAPK1	SMAD3
SQSTM1	SNCA
SNCA	MAPK3
BCL2	ITLN1
ITLN1	SP3
TP53	EGR1
SQSTM1	NTRK1
NTRK1	STAT1
NCOR1	PPARA
YWHAZ	YWHAQ
YWHAQ	YAP1
YWHAZ	TNFAIP3
TNFAIP3	NFKB2
SQSTM1	MAP1LC3A
MAP1LC3A	EPAS1
NCOR1	PPARD
CUL1	IRF3
BCL2	HSP90AA1
HSP90AA1	NR3C2
SQSTM1	MALT1
MALT1	RELB
PDE4B	MAGEA11
MAGEA11	EP300
EP300	HIF1A
EP300	JUN
EP300	TFAP2A
EP300	PPARG
EP300	ETS1
EP300	SP1
EP300	TP53
EP300	FOS
EP300	ESR1
EP300	MYC
EP300	CREBBP
EP300	ARNT
EP300	RXRA
MAGEA11	NR3C1
NR3C1	RXRB
PPARG	RXRG
EP300	SMAD4
EP300	SMAD2
EP300	SMAD3
EP300	MAPK1
MAGEA11	VTA1
VTA1	MAPK3
EP300	SP3
EP300	EGR1
EP300	STAT1
PDE4B	RCBTB2
RCBTB2	UBE2I
UBE2I	PPARA
SMAD3	YAP1
NR3C1	NFKB2
EP300	EPAS1
PDE4B	PAFAH1B1
PAFAH1B1	HSP90AA1
HSP90AA1	PPARD
EP300	IRF3
EP300	BCL3
BCL3	RELB
PDE4C	SRI
SRI	STAT3
STAT3	HIF1A
STAT3	JUN
STAT3	EP300
STAT3	PML
PML	PPARG
STAT3	SP1
SRI	ANXA7
ANXA7	TP53
PML	FOS
PML	MYC
SRI	TCF12
TCF12	CREBBP
PML	ARNT
PML	RXRA
PPARG	RXRB
PML	NCOR2
NCOR2	RXRG
TCF12	SMAD2
TCF12	SMAD3
STAT3	MAPK1
PML	MAPK3
STAT3	STAT1
STAT3	RELA
RELA	PPARA
PML	YAP1
STAT3	NFKB2
STAT3	HDAC2
HDAC2	PPARD
SRI	ALG2
ALG2	HSP90AA1
STAT3	DAXX
DAXX	RELB
PDE4D	GNB2L1
GNB2L1	HIF1A
PDE4D	MDM2
MDM2	JUN
PDE4D	APP
APP	MYC
MYC	TFAP2A
APP	RFX5
RFX5	PPARG
APP	MAPK7
MAPK7	ETS1
APP	MAPK8
MAPK8	SP1
PDE4D	LYN
LYN	TP53
MAPK7	FOS
MDM2	ESR1
LYN	CREBBP
MDM2	EP300
GNB2L1	RB1
RB1	ARNT
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
MDM2	CUL1
APP	CSNK1D
CSNK1D	SMAD4
CSNK1D	SMAD2
GSK3B	SMAD3
PDE4D	ARRB2
ARRB2	MAPK1
ARRB2	MAPK3
ARRB2	SFPQ
SFPQ	SP3
CREBBP	EGR1
ARRB2	STAT1
AKAP13	PPARA
APP	TAF6
TAF6	YAP1
ARRB2	NFKBIA
NFKBIA	NFKB2
APP	MCM7
MCM7	EPAS1
ARRB2	HDAC2
MAPK8	IRF3
APP	C9orf41
C9orf41	NR3C2
GSK3B	RELB
PDE3A	MMS19
MMS19	ESR1
ESR1	HIF1A
PDE3A	GANAB
GANAB	MAPK8
MAPK8	JUN
PDE3A	JUP
JUP	APC
APC	TFAP2A
MMS19	XPO1
XPO1	PPARG
MMS19	RBBP6
RBBP6	ETS1
PDE3A	UBE4B
UBE4B	TP53
MAPK8	EP300
MAPK8	MYC
JUP	CDH1
CDH1	CREBBP
MMS19	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
ESR1	SMAD2
MMS19	AATF
AATF	SMAD3
ESR1	MAPK1
MMS19	HDAC6
HDAC6	MAPK3
ESR1	SP3
JUP	ERBB2
ERBB2	STAT1
MAPK8	SIRT1
SIRT1	PPARA
XPO1	YAP1
