HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	SMAD3
SMAD3	E2F4
DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
DRD2	CALM1
CALM1	AR
AR	E2F4
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	PTK2
PTK2	TP53
S1PR1	GNAI3
GNAI3	XPO1
XPO1	E2F4
HTR1B	MDFI
MDFI	KAT5
KAT5	TP53
KAT5	BRCA1
BRCA1	E2F4
HTR1D	HTR1B
HTR1D	S1PR1
HTR1E	PSMC3
PSMC3	TP53
PSMC3	AR
HTR2C	DLG4
DLG4	ERBB4
ERBB4	TP53
HTR2C	CALM1
HTR6	ATM
ATM	TP53
ATM	BRCA1
HTR7	CUL3
CUL3	YWHAZ
CUL3	TRIM28
TRIM28	E2F4
DRD1	RANBP9
RANBP9	ESR1
ESR1	TP53
RANBP9	AR
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	TP53
DRD5	GNA13
GNA13	RDX
RDX	ENO1
ENO1	E2F4
DRD3	EPB41L1
EPB41L1	COPS5
COPS5	TP53
DRD3	RDX
DRD4	STUB1
STUB1	TP53
DRD4	ARRB2
ARRB2	TRIM28
ADRA1B	AP2M1
AP2M1	BCR
BCR	TP53
BCR	RB1
RB1	E2F4
ADRA2A	UCHL1
UCHL1	TP53
ADRA2A	GNAI2
GNAI2	GNAI3
ADRA2B	UCHL1
UCHL1	CTNNB1
CTNNB1	BRCA1
ADRA2C	UCHL1
CHRM1	GPRASP2
GPRASP2	TXN
TXN	TP53
GPRASP2	AP1M1
AP1M1	BRCA1
CHRM2	SET
SET	TP53
SET	XPO1
CHRM3	SET
E2F4	PCNA
TP53	PCNA
TP53	PLK1
