ACHE	COL1A1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
COL1A1	IGFBP3
IGFBP3	CD44
CD44	EP300
COL1A1	ITGB1
ITGB1	GNB2L1
GNB2L1	HIF1A
COL1A1	UBL4A
UBL4A	HSP90AA1
HSP90AA1	ARNT
UBL4A	C1QBP
C1QBP	CEBPA
UBL4A	TXN
TXN	NFKB1
UBL4A	SMN1
SMN1	RXRA
IGFBP3	FN1
FN1	RARA
RARA	RXRB
RARA	RXRG
IGFBP3	IGF1R
IGF1R	RUVBL1
RUVBL1	LEF1
UBL4A	RAB1A
RAB1A	CREB1
HSP90AA1	NFIC
UBL4A	KPNA2
KPNA2	RELA
UBL4A	RPS27A
RPS27A	DAZAP2
DAZAP2	TCF7
COL1A1	NID1
NID1	FBLN1
FBLN1	TCF7L2
ITGB1	ILK
ILK	CTNNB1
CTNNB1	TCF7L1
ITGB1	PTK2
PTK2	STAT1
CHRNA1	CHRNG
CHRNG	ACTL6B
ACTL6B	CTBP1
CTBP1	CREBBP
CHRNG	KRT31
KRT31	TSG101
TSG101	EP300
KRT31	HDAC4
HDAC4	HIF1A
EP300	ARNT
TSG101	CDKN1A
CDKN1A	CEBPA
HDAC4	NFKB1
EP300	RXRA
TSG101	NR3C1
NR3C1	RXRB
KRT31	LMO4
LMO4	PPARG
PPARG	RXRG
TSG101	DPYSL2
DPYSL2	LEF1
EP300	CREB1
KRT31	CDK18
CDK18	HSP90AA1
KRT31	PIN1
PIN1	RELA
KRT31	HGS
HGS	DAZAP2
CTBP1	TCF7L2
DAZAP2	TCF7L1
HDAC4	STAT1
CHRND	CHRNA1
CHRNE	CHRNA1
CHRNA3	Ubqln1
Ubqln1	Bcr
Bcr	Rac1
Rac1	dsh
dsh	MED25
MED25	CREBBP
Rac1	Tuba1a
Tuba1a	HDAC6
HDAC6	EP300
Rac1	Mapk1
Mapk1	HIF1A
HIF1A	ARNT
Mapk1	Atf2
Atf2	CEBPA
Rac1	Traf6
Traf6	ECSIT
ECSIT	NFKB1
MED25	RXRA
Traf6	Nr0b2
Nr0b2	RARA
Nr0b2	RXRG
Traf6	UBE2D3
UBE2D3	RNF14
RNF14	LEF1
Mapk1	TP53
TP53	CREB1
Traf6	Stub1
Stub1	HSP90AA1
ECSIT	RELA
ECSIT	MAP3K7
MAP3K7	DAZAP2
Mapk1	PARP1
PARP1	TCF7L2
HIF1A	CTNNB1
Rac1	Jra
Jra	Egfr
Egfr	STAT1
CHRNA4	YWHAH
YWHAH	ING1
ING1	CREBBP
YWHAH	PAK2
PAK2	EP300
YWHAH	YWHAZ
YWHAZ	CTNNB1
CTNNB1	HIF1A
YWHAH	SNRPE
SNRPE	HSP90AA1
YWHAZ	NFATC4
NFATC4	CEBPA
YWHAZ	COPS5
COPS5	NFKB1
YWHAH	CBL
CBL	SRC
SRC	RXRA
YWHAH	YWHAG
YWHAG	AKAP13
AKAP13	RXRB
YWHAZ	AJUBA
AJUBA	RXRG
CTNNB1	LEF1
YWHAH	ABL1
ABL1	CREB1
YWHAZ	PRMT5
PRMT5	RELA
YWHAZ	UBC
UBC	DAZAP2
CTNNB1	TCF7L2
YWHAH	PIK3CA
PIK3CA	STAT1
CHRNA7	FYN
FYN	CTNNB1
CTNNB1	CREBBP
FYN	BCL3
BCL3	EP300
FYN	HSP90AA1
BCL3	FOS
FOS	CEBPA
BCL3	NFKB1
BCL3	RXRA
FYN	NR3C1
CTNNB1	PPARG
NR3C1	CREB1
NR3C1	RELA
LEF1	DAZAP2
BCL3	STAT1
CHRNA9	EIF2AK3
EIF2AK3	NFE2L2
NFE2L2	CREBBP
EIF2AK3	HSPA5
HSPA5	EP300
CHRNA9	POM121
POM121	BRCA1
BRCA1	HIF1A
BRCA1	ARNT
CHRNA9	CHEK1
CHEK1	CDKN1A
CHRNA9	KIF5B
KIF5B	COPS5
CHEK1	RELA
RELA	RXRA
CHRNA9	PBXIP1
PBXIP1	MDFI
MDFI	NR1H2
NR1H2	RXRB
CHEK1	CUL1
CUL1	RXRG
CHRNA9	YKT6
YKT6	FKBP1A
FKBP1A	SMAD7
SMAD7	LEF1
BRCA1	CREB1
CHEK1	HSP90AA1
KIF5B	TAX1BP1
TAX1BP1	DAZAP2
CHEK1	MEN1
MEN1	TCF7L2
BRCA1	CTNNB1
CHRNA9	MAVS
MAVS	STAT1
CHRNB3	TYRO3
TYRO3	SRC
SRC	CREBBP
TYRO3	PIK3R1
PIK3R1	EP300
SRC	STAT3
STAT3	HIF1A
STAT3	CDKN1A
STAT3	NFKB1
SRC	THRB
THRB	RXRB
THRB	RXRG
STAT3	SMAD1
SMAD1	LEF1
CREBBP	CREB1
SRC	GRB2
GRB2	HSP90AA1
STAT3	RELA
SRC	PLSCR1
PLSCR1	DAZAP2
SRC	AR
AR	TCF7L2
SRC	EGFR
EGFR	CTNNB1
SRC	STAT1
CHRNB4	Ubqln1
NFKB1	BIRC3
RELA	BIRC3
STAT1	MYD88
CREBBP	ENO2
CREBBP	LTBR
EP300	ENO2
EP300	LTBR
HIF1A	ENO2
HIF1A	LTBR
ARNT	ENO2
ARNT	LTBR
CREB1	MITF
CREBBP	MITF
EP300	MITF
LEF1	MITF
TCF7	MITF
TCF7L2	MITF
TCF7L1	MITF
NFKB1	TRAF5
RELA	TRAF5
RXRA	PCK2
RXRB	PCK2
RXRG	PCK2
CEBPA	APOB
NFKB1	F8
CEBPA	PCK2
NFIC	PCK2
