HTR2A	CBL
CBL	SMAD3
SMAD3	JUN
CBL	CTNNB1
CTNNB1	LEF1
CBL	UBC
UBC	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
SMAD3	E2F4
CBL	YWHAQ
YWHAQ	E2F1
CBL	GRB2
GRB2	BCAR1
BCAR1	E2F2
CTNNB1	HDAC1
HDAC1	E2F3
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
GRB2	HSP90AA1
HSP90AA1	NR3C2
CTNNB1	HIF1A
CTNNB1	SP1
GRB2	EP300
EP300	ETS1
CBL	BAG1
BAG1	RARA
CBL	MAPK8
MAPK8	MYC
SMAD3	FOS
CBL	YWHAZ
YWHAZ	TP53
CTNNB1	CREBBP
EP300	ARNT
CBL	EGFR
EGFR	STAT1
SMAD3	CEBPA
DRD2	FLNA
FLNA	RBM39
RBM39	JUN
FLNA	LMNA
LMNA	CTNNB1
FLNA	REL
REL	ATXN1
ATXN1	DAZAP2
DRD2	CALM1
CALM1	AR
AR	TCF7L2
AR	E2F4
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	E2F1
DRD2	PAWR
PAWR	SHMT2
SHMT2	E2F2
LMNA	RB1
RB1	E2F3
REL	NFKB1
REL	RELA
PAWR	CAND1
CAND1	NR3C2
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
CDKN2A	SP1
REL	EP300
PAWR	SQSTM1
SQSTM1	RARA
EPB41L1	APP
APP	MYC
LMNA	PML
PML	FOS
FLNA	RANBP2
RANBP2	TP53
REL	CREBBP
CALM1	HSP90AA1
HSP90AA1	ARNT
PAWR	STAT1
LMNA	KAT5
KAT5	CEBPA
GRIA2	SDCBP
SDCBP	MBD3
MBD3	JUN
GRIA2	GRIP1
GRIP1	CTNNB1
SDCBP	SIAH1
SIAH1	DAB1
DAB1	DAZAP2
GRIP1	HDAC1
HDAC1	E2F4
HDAC1	E2F1
SIAH1	TFDP1
TFDP1	E2F2
HDAC1	NFKB1
GRIP1	CREBBP
CREBBP	RELA
SDCBP	NT5C2
NT5C2	PTGES3
PTGES3	NR3C2
SDCBP	TRAF6
TRAF6	HIF1A
GRIA2	RAB11A
RAB11A	TDP2
TDP2	ETS1
SDCBP	TRIM32
TRIM32	RARA
GRIA2	PICK1
PICK1	EFNB1
EFNB1	MYC
CREBBP	FOS
TRIM32	TP53
SDCBP	ZBTB8A
ZBTB8A	EP300
SIAH1	PIAS2
PIAS2	ARNT
PICK1	ERBB2
ERBB2	STAT1
GRIP1	VDR
VDR	CEBPA
GRIA3	SDCBP
GRIA3	GRIP1
CREBBP	ETS1
GRIA3	PICK1
CREB5	BDNF
MAPK8	SMAD4
CREBBP	PDK1
EP300	PDK1
HIF1A	PDK1
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
RXRG	EHHADH
IRF7	IFNA8
CREB1	CD74
MAPK14	IL12A
MAPK14	IL23A
MYD88	IFNA4
NFYC	HLA-DPA1
MAPK1	IL1B
MAPK1	IL12A
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
CREB1	ARG1
JUN	F3
REL	IFNG
STAT1	IFNG
RELA	IL2RA
STAT4	IL2RA
TFAP2A	MT1A
RARA	PLAU
