HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRDC3	ADRB2
ADRB2	STAT3
ARRB2	YWHAQ
YWHAQ	E2F1
E2F1	SP4
ARRB2	MAPK1
MAPK1	SP1
ARRDC3	ITCH
ITCH	JUN
ARRB2	AKT1
AKT1	CREB1
ITCH	TP53
ARRDC3	NEDD4
NEDD4	SMAD7
TP53	ETS1
ARRB2	CDK3
CDK3	PPARA
ARRB2	TRAF6
TRAF6	MYD88
ARRB2	SFPQ
SFPQ	SP3
ARRB2	PTGES3
PTGES3	NR3C2
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	STAT1
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	NFIC
MAPK1	RXRA
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	CAPN1
CAPN1	HIF1A
HSP90AA1	ARNT
MAPK1	ELK1
CREB5	BDNF
TP53	GADD45B
ZBTB17	CDKN2B
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
MYC	CCND1
RBPJ	FCER2
CTNNB1	CCND3
CREBBP	FASLG
RELA	IL6
CREBBP	EGF
CREBBP	PFKL
EP300	EGF
EP300	PFKL
HIF1A	EGF
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
TEAD1	BIRC5
TEAD4	AXIN2
SOS1	SPRY1
SOS1	SPRED1
STAT4	CCND3
STAT5B	CCND2
TCF7L2	MITF
RELA	CCL4L1
RBPJL	HES5
TP53	RPRM
EPAS1	VEGFB
FOS	VEGFB
PIAS2	CDKN2B
CREB3L1	MCL1
PPARA	HMGCS2
PPARD	UCP1
PPARG	MMP1
RXRA	ACSL3
RXRG	EHHADH
RXRG	FABP4
IRF7	IFNA8
IRF7	IFNA10
MYD88	IFNA14
MYD88	IFNA16
MAPK13	IL18
RELA	CEBPB
RELA	IL1A
RELA	IL18
RELA	IL23A
RFX5	HLA-DQB1
RFX5	HLA-DRA
RFX5	HLA-DRB1
LEF1	FOSL1
TP53	BAK1
ATF1	BCL2
CEBPA	BCL2
MYBL1	BCL2
TP53	BCL2
WT1	BCL2
HIF1A	BNIP3
USF1	CALCA
USF2	CALCA
JUN	F3
RARA	GADD45B
RARA	PLAU
SP3	TNF
SPI1	TNF
NFKB1	TP53
PAX5	TP53
CREB1	TRH
ETV4	VIM
