KCNJ11	YWHAB
YWHAB	PRKCZ
PRKCZ	SP1
YWHAB	CDC25A
CDC25A	SMAD3
YWHAB	TSC2
TSC2	SMAD2
YWHAB	CYFIP2
CYFIP2	SMAD4
YWHAB	YWHAQ
YWHAQ	YAP1
YWHAB	YWHAZ
YWHAZ	WWTR1
WWTR1	TEAD1
YWHAB	TRIM32
TRIM32	TRIM27
TRIM27	TEAD4
WWTR1	TEAD3
YWHAZ	TP53
YWHAB	ABL1
ABL1	JUN
YWHAB	RFWD2
RFWD2	ETS1
YWHAB	HES1
HES1	STAT3
YWHAB	GRIP1
GRIP1	CREBBP
YWHAB	HSPA5
HSPA5	EP300
YWHAB	HDAC4
HDAC4	HIF1A
EP300	ARNT
YWHAB	IGF1R
IGF1R	ESR1
YWHAB	APP
APP	MYC
MYC	TFAP2A
YWHAB	C1QBP
C1QBP	CEBPA
YWHAZ	ENO1
ENO1	E2F4
GRIP1	PPARG
HDAC4	ATF2
APP	ELK1
ELK1	FLI1
ABL1	CREB1
ESR1	SP3
HDAC4	NFKB1
PRKCZ	RELA
HDAC4	STAT1
YWHAB	CSNK2A1
CSNK2A1	ATF1
YWHAB	CBL
CBL	SOS1
APP	SHC1
SHC1	SOS2
YWHAB	CDK11B
CDK11B	POU2F1
RFWD2	JUND
YWHAZ	CTNNB1
CTNNB1	LEF1
YWHAB	HGS
HGS	DAZAP2
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
CTNNB1	TCF7L1
SHC1	STAT5A
SHC1	STAT5B
CDC25A	EGFR
EGFR	STAT2
YWHAQ	TRIM28
TRIM28	STAT4
YWHAB	USP8
USP8	STAT6
KCNJ1	SLC9A3R1
SLC9A3R1	CAPN1
CAPN1	STAT3
STAT3	SP1
SLC9A3R1	PIK3CA
PIK3CA	SMAD3
PIK3CA	SMAD2
CAPN1	FHL2
FHL2	SMAD4
SLC9A3R1	YAP1
YAP1	TEAD1
KCNJ1	SH3RF1
SH3RF1	UBE2D1
UBE2D1	TRIM27
YAP1	TEAD3
SLC9A3R1	YWHAZ
STAT3	JUN
TP53	ETS1
KCNJ1	SLC9A3R2
SLC9A3R2	SMARCA2
SMARCA2	CREBBP
YAP1	EP300
CAPN1	HIF1A
HIF1A	ARNT
SLC9A3R1	YWHAQ
YWHAQ	ESR1
TP53	TFAP2A
YWHAZ	NFATC4
NFATC4	CEBPA
CTNNB1	PPARG
YWHAZ	HDAC4
YWHAZ	PRKCD
PRKCD	FLI1
YAP1	CREB1
SLC9A3R1	RPS3
RPS3	NFKB1
RPS3	RELA
YWHAZ	APP
PIK3CA	STAT1
SLC9A3R1	EZR
EZR	BRCA1
BRCA1	ATF1
SLC9A3R2	HRAS
HRAS	SOS1
ESR1	SOS2
YWHAZ	XRCC6
XRCC6	POU2F1
YWHAZ	RFWD2
YWHAZ	UBC
UBC	DAZAP2
CTNNB1	TCF7L2
ESR1	STAT5A
YAP1	EGFR
EGFR	STAT5B
YWHAQ	HSPB1
HSPB1	STAT2
SLC9A3R1	ADRB2
ADRB2	STAT4
STAT3	STAT6
ABCC8	RAPGEF4
RAPGEF4	RAP1A
RAP1A	HDAC1
HDAC1	SP1
RAP1A	TSC2
TSC2	SMAD3
HDAC1	SMAD2
RAPGEF4	TRAF2
TRAF2	PIAS2
PIAS2	SMAD4
TRAF2	UBE2D1
UBE2D1	YAP1
RAP1A	NTRK1
NTRK1	INSR
INSR	TEAD1
NTRK1	GOLGA2
GOLGA2	TEAD4
NTRK1	PHB2
PHB2	TEAD3
ABCC8	KCNJ11
RAP1A	CDC42
CDC42	TP53
TRAF2	JUN
JUN	ETS1
NTRK1	STAT3
HDAC1	CREBBP
HDAC1	EP300
RAP1A	FAF1
FAF1	HIF1A
PIAS2	ARNT
HDAC1	ESR1
TRAF2	ELAVL1
ELAVL1	TFAP2A
ELAVL1	CEBPA
HDAC1	E2F4
HDAC1	PPARG
JUN	ATF2
PIAS2	FLI1
HDAC1	CREB1
HDAC1	SP3
RAP1A	HSPA4
HSPA4	NFKB1
NTRK1	RELA
ELAVL1	ELK1
NTRK1	STAT1
NTRK1	SOS1
NTRK1	SOS2
HDAC1	POU2F1
TRAF2	COPS5
COPS5	JUND
CDC42	RUVBL1
RUVBL1	LEF1
TRAF2	UBC
TRAF2	USP4
USP4	TCF7L2
NTRK1	CTNNB1
TRAF2	EGFR
EGFR	STAT5A
NTRK1	STAT5B
PIAS2	STAT4
JUN	STAT6
ATF6B	FOS
ATF4	FOS
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
MAPK14	CXCL1
CTNNB1	CCND2
NFKB1	TNF
MAPK10	SMAD4
CREBBP	SERPINE1
CREBBP	PFKFB4
EP300	SERPINE1
EP300	PFKFB4
HIF1A	SERPINE1
HIF1A	PGK1
ARNT	EDN1
ARNT	FIGF
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	BIRC2
YAP1	ID3
YAP1	CCND1
YAP1	SNAI2
YAP1	AXIN2
WWTR1	FGF1
WWTR1	BBC3
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
MAPK3	CDK4
RXRG	FABP3
IRF7	IFNA14
MAPK8	TNF
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
RFXAP	HLA-DPA1
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB3
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
RFXAP	CD74
MAPK12	IL1A
MAPK12	IL1B
TCF7	JUN
NFKB1	FN1
ESR1	FOS
ESR2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
BCL3	MYB
ETS1	PRL
CEBPD	PTGS2
LEF1	SPP1
POU2F2	SPP1
NFIC	STMN1
JUN	TFF1
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
TFAP2A	VHL
ETS1	VWF
NFIC	VWF
