SLC22A6	APP
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
APP	MAPK8
MAPK8	NR4A1
NR4A1	RXRG
AKAP13	PPARA
APP	HSPA8
HSPA8	POU2F1
MAPK8	ELK4
APP	KAT5
KAT5	SRF
APP	CUL3
CUL3	TOP1
TOP1	ELK3
GSK3B	NFKB1
APP	DDX54
DDX54	PGR
APP	PSEN2
PSEN2	APH1A
APH1A	ATF4
MAPK8	TP53
MAPK8	SP1
PSEN2	ELAVL1
ELAVL1	NFIC
KAT5	CREB1
MAPK8	STAT3
HSPA8	HTT
HTT	ETV4
APP	MCM7
MCM7	HIF1A
APP	HDAC4
HDAC4	STAT1
MAPK8	ATF2
MAPK8	EP300
EP300	PAX6
MAPK8	JUN
DDX54	ESR1
APP	EEF1D
EEF1D	RELA
RELA	EGR1
APP	MAPK7
MAPK7	ETS1
RELA	SP3
APP	ELK1
APP	MYC
MYC	TFAP2A
ELK1	FLI1
MAPK8	CTNNB1
CTNNB1	PPARD
APP	SHC1
SHC1	SOS1
SHC1	SOS2
APP	HGS
HGS	DAZAP2
DAZAP2	LEF1
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
DAZAP2	TCF7L1
APP	TAF6
TAF6	YAP1
HGS	INSR
INSR	TEAD1
MCM7	TRIM27
TRIM27	TEAD4
KAT5	E2F1
E2F1	TEAD3
EEF1D	HCFC1
HCFC1	CREB3
CUL3	NXF1
NXF1	ATF6B
ELAVL1	CREB3L2
CUL3	PGRMC1
PGRMC1	CREB3L1
MAPK8	TRAF2
TRAF2	CREB5
MAPK8	REL
APP	PHF8
PHF8	RARA
SHC1	STAT5A
SHC1	STAT5B
ELAVL1	STAT2
MAPK8	PIAS2
PIAS2	STAT4
HGS	AHCYL1
AHCYL1	STAT6
GSK3B	SMAD3
MAPK7	FOS
GSK3B	CEBPB
DDX54	NR3C1
NR3C1	ETS2
MYC	SMAD7
MAPK8	CEBPA
MAPK8	JUNB
MAPK8	JUND
APP	CDC20
CDC20	CREBBP
ELAVL1	ARNT
HCFC1	E2F4
APP	RFX5
RFX5	PPARG
PANX1	GNAS
GNAS	RUVBL1
RUVBL1	UBE2I
UBE2I	RXRA
RUVBL1	RARA
RARA	RXRB
RARA	RXRG
GNAS	C1QBP
C1QBP	DAP3
DAP3	PPARA
C1QBP	HSPA8
RUVBL1	ELAVL1
ELAVL1	ELK4
GNAS	NUCB1
NUCB1	GTF2I
GTF2I	SRF
C1QBP	SRSF1
SRSF1	TOP1
C1QBP	NFKBIE
NFKBIE	NFKB1
DAP3	PGR
GNAS	SHMT2
SHMT2	ATF4
GNAS	AXIN1
AXIN1	TP53
C1QBP	PRKCZ
PRKCZ	SP1
RUVBL1	CREBBP
CREBBP	CREB1
GNAS	HLA-A
HLA-A	STAT3
AXIN1	HTT
GNAS	GIPC1
GIPC1	MCM7
GNAS	GNB2
GNB2	STAT1
CREBBP	ATF2
RUVBL1	AR
AR	PAX6
C1QBP	PRKD1
PRKD1	JUN
GIPC1	MMS19
MMS19	ESR1
CREBBP	EGR1
CREBBP	ETS1
CREBBP	SP3
CREBBP	ELK1
GIPC1	SH3BP4
SH3BP4	TFAP2A
C1QBP	PRKCD
PRKCD	FLI1
RUVBL1	CTNNB1
GNAS	RIC8A
RIC8A	PLCG1
PLCG1	SOS1
PLCG1	SOS2
GIPC1	OGT
OGT	RELA
RUVBL1	LEF1
LEF1	DAZAP2
CTNNB1	TCF7L2
CTNNB1	TCF7L1
C1QBP	AHCYL1
AHCYL1	YAP1
PRKCD	INSR
GNAS	GNG5
GNG5	GOLGA2
GOLGA2	TEAD4
C1QBP	PHB2
PHB2	TEAD3
SHMT2	CREB3
SHMT2	NFYA
NFYA	ATF6B
C1QBP	CEBPA
CEBPA	Fbxw7
Fbxw7	CREB3L1
GNG5	MDFI
MDFI	CREB5
NUCB1	REL
LEF1	STAT5A
SHMT2	ELP2
ELP2	STAT5B
GNAS	PAICS
PAICS	HSPB1
HSPB1	STAT2
PAICS	TKT
TKT	STAT4
AXIN1	MYC
CREBBP	SMAD3
CEBPA	FOS
CEBPA	CEBPB
CREBBP	ETS2
SHMT2	HDAC6
HDAC6	SMAD7
CREBBP	JUNB
ELAVL1	JUND
PRKCD	EP300
CEBPA	E2F4
C1QBP	PRKCA
PRKCA	PPARG
NR3C2	ATP1B4
NR3C2	KRAS
NR3C2	ATP1A2
NR3C2	ATP1A3
NR3C2	ATP1B1
NR3C2	ATP1B2
NR3C2	FXYD2
NR3C2	FXYD4
NR3C2	SCNN1B
NR3C2	SCNN1G
CREB3	ARC
CREB3	FOS
CREB1	ARC
CREB1	FOS
ATF2	ARC
ATF2	FOS
GLI2	WNT2B
GLI3	WNT16
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
ARNTL	NR1D1
LEF1	MYC
TCF7	BIRC5
MAPK14	CXCL1
CTNNB1	CCND2
CREBBP	FASLG
MAPK10	SMAD4
CREBBP	EGF
CREBBP	PFKFB4
EP300	EGF
EP300	PFKFB4
HIF1A	EGF
ARNT	EDN1
ARNT	EPO
ARNT	FIGF
ARNT	TF
ARNT	TIMP1
ARNT	HKDC1
RELA	HIF1A
YAP1	FGF1
YAP1	GLI2
YAP1	ID3
YAP1	MYC
YAP1	CCND1
YAP1	AXIN2
WWTR1	CTGF
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID2
SMAD1	ID4
SMAD4	CTGF
SMAD4	ID2
TCF7	BIRC2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SNAI2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT4	SOCS3
STAT5B	CCND3
CREB3L4	MITF
MAPK1	CCND1
MAPK3	CCND1
EPAS1	PDGFB
FOS	VEGFA
HIF1A	TGFB1
JUN	MMP9
MYC	VEGFC
NFKB2	TRAF2
CREB1	BCL2
FOXO3	CDKN1B
CREB3L3	MCL1
PPARA	CYP7A1
PPARA	ACOX1
PPARA	ACSBG2
PPARD	PDPK1
PPARG	CYP27A1
PPARG	UCP1
RXRA	APOA5
RXRA	FABP3
RXRB	PCK1
NFYA	HLA-DPB1
NFYC	HLA-DQB1
NFYC	HLA-DRA
