SLC22A6	APP
APP	MAPK8
MAPK8	SP1
MAPK8	JUN
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
RELA	EGR1
APP	HSPA8
HSPA8	POU2F1
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	NFIC
APP	HDAC4
HDAC4	STAT1
MAPK8	CEBPA
MAPK8	IRF3
MAPK8	SPI1
GSK3B	CEBPB
APP	MAPK7
MAPK7	ETS1
APP	KAT5
KAT5	CREB1
MAPK8	TP53
MAPK8	STAT3
APP	MYC
MYC	TFAP2A
MYC	VDR
MAPK7	FOS
APP	ELK1
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
APP	TAF6
TAF6	YAP1
APP	TIRAP
TIRAP	MYD88
PSEN2	TRAF6
TRAF6	IRF7
APP	DDX54
DDX54	ESR1
APP	MCM7
MCM7	HIF1A
PANX1	GNAS
GNAS	C1QBP
C1QBP	PRKCZ
PRKCZ	SP1
C1QBP	PRKD1
PRKD1	JUN
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	RUVBL1
RUVBL1	CREBBP
CREBBP	EGR1
C1QBP	HSPA8
RUVBL1	ELAVL1
GNAS	GNB2
GNB2	STAT1
C1QBP	CEBPA
CREBBP	IRF3
CEBPA	SPI1
CEBPA	CEBPB
CREBBP	ETS1
CREBBP	CREB1
GNAS	AXIN1
AXIN1	TP53
GNAS	HLA-A
HLA-A	STAT3
GNAS	GIPC1
GIPC1	OGT
OGT	RELA
GIPC1	SH3BP4
SH3BP4	TFAP2A
CEBPA	VDR
CEBPA	FOS
CREBBP	ELK1
RUVBL1	LEF1
LEF1	STAT5A
GNAS	SHMT2
SHMT2	ELP2
ELP2	STAT5B
C1QBP	AHCYL1
AHCYL1	YAP1
SHMT2	HDAC6
HDAC6	MYD88
AXIN1	TNFAIP3
TNFAIP3	IRF7
GIPC1	MMS19
MMS19	ESR1
GIPC1	MCM7
STAT3	PIM2
STAT5A	PIM2
STAT5B	PIM2
NR3C2	ATP1A4
ARNTL	PER3
NPAS2	CRY1
LEF1	BIRC5
LEF1	CCND1
EP300	ANGPT1
HIF1A	BCL2
ARNT	ALDOA
TEAD1	SNAI2
TEAD4	CCND3
TCF7L1	AXIN1
TEAD2	MYC
SOS1	CCND1
STAT4	PIM1
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
RXRA	ACSL6
RXRA	SCD
RXRA	ACSBG2
RXRA	ACOX2
RXRA	ACOX3
RXRA	CD36
RXRB	CPT2
RXRB	CYP7A1
RXRB	ACSL3
RXRB	ACSL6
RXRB	HMGCS2
RXRB	APOA1
RXRB	ACADM
RXRB	APOC3
RXRB	ILK
RXRB	SLC27A1
RXRB	PDPK1
RXRG	NR1H3
RXRG	SLC27A4
RXRG	CYP27A1
NFYA	CD74
NFYC	LOC100507714
NFYC	HLA-DPA1
NFYC	HLA-DPB1
NFYC	HLA-DQA1
MAPK1	IL1B
MAPK1	IL6
MAPK1	IL12A
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
SP1	CEACAM5
USF1	CEACAM5
USF2	CEACAM5
USF2	CEACAM6
ATF2	CGA
CREB1	CGA
JUN	CYP11A1
MYC	EIF4E
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
BCL3	NFKB1
CEBPA	NFKB1
ETS1	NFKB1
E2F1	POLA
CEBPB	TOP1
EGR1	TP53
ERG	VWF
ETS2	VWF
