NISCH	IRS1
IRS1	IGF1R
IGF1R	TP53
IRS1	ESR1
ESR1	HIF1A
ESR1	CREBBP
IRS1	GRB2
GRB2	EP300
EP300	ARNT
IRS1	YWHAE
YWHAE	FOXO3
ESR1	SP1
IRS1	SIRT1
SIRT1	JUN
ESR1	NCOR2
NCOR2	RARB
IRS1	SOCS3
SOCS3	NFKB1
IRS1	AKT1
AKT1	CREB1
IRS1	APP
APP	MYC
MYC	TFAP2A
ESR1	RELA
AKT1	RARA
ESR1	NCOA3
NCOA3	RARG
GRB2	HSP90AA1
HSP90AA1	NFIC
RBPJ	FCER2
CTNNB1	CCND3
ATF4	PCNA
RELA	IL6
CREBBP	HK3
CREBBP	PFKL
EP300	HK3
EP300	PFKL
HIF1A	HK3
STAT4	SOCS5
STAT5A	MYC
STAT5B	SOCS3
STAT6	SOCS7
NFKB1	FIGF
PDX1	INS
CREB3	AQP2
CREB1	AQP2
USF1	APOC3
USF2	APOC3
CREB1	ARG1
CREB1	CYP11A1
SP3	IGFBP3
CEBPD	IL1A
ATF1	IL1B
POU2F1	IL2
RELA	IL2RA
STAT1	IL2RA
STAT3	IL2RA
NFKB1	MYC
PGR	MYC
