SLC22A6	APP
APP	MYC
MYC	TFAP2A
APP	EEF1D
EEF1D	RELA
RELA	USF2
APP	MAPK8
MAPK8	SP1
APP	MCM7
MCM7	HIF1A
MAPK8	JUN
RELA	EGR1
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
APP	RFX5
RFX5	PPARG
APP	MAPK7
MAPK7	ETS1
AKAP13	PPARA
APP	C9orf41
C9orf41	NR3C2
APP	KAT5
KAT5	CREB1
MAPK8	ATF2
ATF2	ATF1
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
GSK3B	NFKB1
APP	TAF6
TAF6	YAP1
APP	STUB1
STUB1	FOXO1
APP	CSNK1D
CSNK1D	SMAD4
MAPK8	CEBPA
ELAVL1	NFIC
MAPK8	TP53
APP	ELK1
ELK1	FLI1
MAPK8	STAT3
MYC	FOXO3
APP	HGS
HGS	TSG101
TSG101	NFKB2
APP	DDX54
DDX54	ESR1
PANX1	GNAS
GNAS	GIPC1
GIPC1	SH3BP4
SH3BP4	TFAP2A
GIPC1	OGT
OGT	RELA
GNAS	AXIN1
AXIN1	MYC
GNAS	C1QBP
C1QBP	PRKCZ
PRKCZ	SP1
GIPC1	MCM7
C1QBP	PRKD1
PRKD1	JUN
GNAS	RUVBL1
RUVBL1	CREBBP
CREBBP	EGR1
RUVBL1	UBE2I
UBE2I	RXRA
RUVBL1	RARA
RARA	RXRB
RARA	RXRG
C1QBP	PRKCA
PRKCA	PPARG
CREBBP	ETS1
C1QBP	DAP3
DAP3	PPARA
GNAS	SHMT2
SHMT2	CAND1
CAND1	NR3C2
CREBBP	CREB1
CREBBP	ATF1
C1QBP	PRKCD
PRKCD	EP300
RUVBL1	ELAVL1
C1QBP	NFKBIE
NFKBIE	NFKB1
C1QBP	AHCYL1
AHCYL1	YAP1
C1QBP	LRPPRC
LRPPRC	FOXO1
RUVBL1	LEF1
LEF1	SMAD4
C1QBP	CEBPA
AXIN1	TP53
PRKCD	FLI1
GNAS	HLA-A
HLA-A	STAT3
RUVBL1	CTNNB1
CTNNB1	FOXO3
NFKBIE	NFKB2
GIPC1	MMS19
MMS19	ESR1
STAT3	PIM1
CREB5	BDNF
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
HIF1A	VEGFA
HIF1A	VEGFC
ARNT	ENO2
ARNT	PFKFB3
ARNT	PFKL
LEF1	SOX2
LEF1	AXIN1
VDR	ATP2B1
RBPJ	HES1
TP53	GTSE1
TP53	BAI1
NFKB1	VEGFB
NFKB1	VEGFC
EPAS1	SLC2A1
ETS1	CDK4
ETS1	MMP1
FOS	CDK4
MYC	VEGFB
MYC	VEGFC
NFKB1	TRAF5
NFKB2	TRAF6
IRF8	IL12B
CREB3	BCL2
FOXO3	BCL2L11
FOXO3	CDKN1B
FOXO3	RBL2
PPARA	EHHADH
PPARA	APOA2
PPARA	LPL
PPARA	SCD5
PPARA	ACSBG2
PPARD	CPT1B
PPARG	ACSL3
PPARG	PCK1
PPARG	PLIN1
RXRA	SLC27A4
RXRA	APOA5
RXRA	CYP7A1
NFYA	CD74
NFYC	LOC100509457
NFYC	LOC101060835
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
RFX5	HLA-DRB3
RFX5	HLA-DRB4
MAPK12	IL12A
MAPK12	IL23A
STAT1	NOS2
RFXANK	LOC100507709
RFXANK	LOC100509457
RFXANK	LOC101060835
TCF7	MMP7
TCF7	PPARD
TCF7L2	JUN
LEF1	ADA
USF1	APOC3
USF2	APOC3
ESR1	APOE
USF1	CALCA
USF2	CALCA
POU2F1	HIST2H2BE
FOS	HLA-DRA
CEBPB	IL6
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
ETS1	MYB
ETV4	MYB
MYB	MYB
TFAP2A	MYB
BCL6	NFKB1
RARA	PLAU
