TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	ELK1
ELK1	EGR1
MAPK8	TP53
PRKACA	RELA
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK8	JUN
PRKACA	CREB1
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	MAPK1
MAPK1	STAT3
STAT3	IRF1
MAPK8	SMAD3
SMAD3	E2F4
MAPK1	ETS1
MAPK8	FOS
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ETS2
PRKACA	MAPK3
NFKB1	TRAF6
TRAF6	MYD88
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
RAPGEF3	MAPK14
RAPGEF3	MAPK11
RAPGEF3	MAPK13
RAPGEF3	MAPK9
RAPGEF3	MAPK10
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ELK1
MAPK1	TP53
MAPK1	RELA
NOS1	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	NFKB1
MAPK1	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
HRAS	JUN
GATM	NOS3
NOS3	CREB1
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
PIK3R5	MTOR
SMAD2	E2F4
HRAS	FOS
NOS1	MAPK3
MAPK1	STAT1
STAT1	MYD88
MAPK1	SMAD4
SMAD4	LEF1
HRAS	MAPK14
HRAS	MAPK11
HRAS	MAPK13
HRAS	MAPK8
HRAS	MAPK9
HRAS	MAPK10
CREB3L2	BDNF
CREB5	FOSB
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
EP300	FIGF
SOS1	CCND1
STAT4	SOCS3
STAT5B	CCND3
HNF1A	HNF4G
CREBBP	MITF
LEF1	MITF
RELA	TRAF2
PIK3CG	AKT3
TP53	RFWD2
TP53	SIAH1
EPAS1	PDGFB
EPAS1	TGFB1
FOS	VEGFA
JUN	MMP9
MYC	CDK4
MYC	VEGFB
NFKB2	TRAF2
RELA	NOS2
FOXO3	BCL2L11
CREB3L3	MCL1
PPARA	CYP7A1
PPARA	ACSL3
PPARA	SCD5
PPARD	PDPK1
PPARG	CYP27A1
PPARG	ACSL6
RXRA	SLC27A4
RXRA	FABP3
RXRA	SCD
RXRB	ACSL6
RXRB	HMGCS2
RXRB	APOA1
RXRB	ACSBG2
RXRG	CD36
MAX	CDK6
SMAD5	ID2
FOS	IL6
FOS	TNF
IRF5	IL6
IRF7	IFNA1
MAPK1	IL6
MAPK3	IL18
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
MAPK9	IL12A
MAPK9	IL12B
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
SP1	AKR1B1
POU2F1	AKR1C3
NFIC	ALAS1
CEBPA	ALB
SP1	ALB
SP1	ALDH3A1
TP53	CAV1
SP1	CD99
MYC	CDC25A
E2F4	CDC45
STAT3	CSRP1
MYC	CSTB
SP1	CTGF
RELA	CTSB
STAT1	EGFR
TFAP2A	ERBB2
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
TFAP2C	ESR1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
PPARG	GADD45A
RARA	GADD45A
POU2F2	IL2
STAT5A	IL2RA
CREB1	POLD2
ETS1	PPP2R4
ATF4	PTGS2
ATF1	TNF
