STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
NPAS2	RORA
NPAS2	RORB
NPAS2	RORC
NPAS2	BHLHE41
NPAS2	BHLHE40
NPAS2	PER3
NPAS2	NR1D1
CLOCK	CRY1
CLOCK	CRY2
CLOCK	PER1
CLOCK	RORA
CLOCK	RORB
TCF7	MYC
TCF7	CCND1
TCF7L2	BIRC5
TCF7L2	MYC
TCF7L2	CCND1
TCF7L1	BIRC5
TCF7L1	CCND1
ESR1	ATP2B1
MAPK14	IL8
JUN	CXCL1
RBPJL	FGR
RBPJL	MYC
RBPJ	FGR
RBPJ	MYC
TP53	MDM2
CTNNB1	CCND1
NFAT5	TNF
NFKB1	TNF
CREB5	IL8
CREBBP	SERPINE1
CREBBP	VEGFC
EP300	SERPINE1
EP300	VEGFC
HIF1A	SERPINE1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
SOS1	SPRY1
SOS1	SPRED1
SOS1	MYC
RELA	CCL4
PIK3R2	AKT1
PIK3R2	PDPK1
STAT3	VEGFA
ETS1	VEGFC
FOS	VEGFB
JUN	PGF
NFKB2	XIAP
CREB1	BCL2
FOXO3	G6PC2
CREB3L1	MCL1
CREB5	MCL1
PPARA	ACOX1
PPARD	CPT1A
PPARD	UCP1
PPARD	ACOX3
PPARG	UCP1
RXRA	CYP4A11
RXRA	ACSL3
RXRG	EHHADH
RXRG	FABP4
IRF7	IFNA8
IRF7	IFNA10
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
MAPK1	IL6
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXANK	HLA-DRB5
RFXANK	CD74
PDX1	INS
CREB3	AQP2
CREB1	AQP2
CREB3L4	AQP2
TCF7	FOSL1
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
MYB	TSC22D3
MYBL1	TSC22D3
SP1	COL4A2
USF1	XRCC6
BCL6	ADH6
SP1	ADH6
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
TFAP2A	ADRA1A
ATF1	AQP3
CREB1	ARG1
SP3	COL2A1
USF1	CTSB
MYC	EIF4E
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
CREB1	ODC1
SP1	ODC1
WT1	ODC1
CEBPA	PCK2
NFIC	PCK2
E2F4	PCNA
TP53	PCNA
EGR1	PDGFB
ELK1	PDGFB
NFKB1	PDGFB
SP1	PDGFB
SP3	PDGFB
POU2F1	PLAU
RARA	PLAU
SP1	PLAU
ATF1	PLAUR
TP53	PLK1
SP2	PLP1
E2F1	POLA
JUN	POLA
E2F4	POLE2
NFIC	POLE2
CEBPD	PTGS2
CREB1	PTGS2
RARB	PTGS2
REL	PTGS2
TFAP2A	PTGS2
USF1	PTGS2
TP53	RELA
PPARA	SERPINE1
SP1	SPN
JUN	TFRC
JUN	TIMP1
ERG	TNNC1
JUN	TP53
HIF1A	VHL
ETS1	VWF
ETS2	VWF
NFIC	VWF
