AR	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
NFKB1	TP53
TP53	TP73
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	CREB1
NFKB1	HIF1A
PRKACA	EP300
PRKACA	RELA
CREBBP	ARNT
PRKACA	ATF1
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
MAPK1	ETS1
MAPK1	JUN
CEBPA	E2F2
CEBPA	E2F3
NFKB1	PPP2CA
PPP2CA	YAP1
CREB3L4	PDYN
CREB3L2	PDYN
GLI2	WNT5A
GLI2	WNT7A
GLI2	WNT8A
TCF7L2	MYC
ATF6B	IL8
NFKB1	TNF
CREBBP	ENO1
CREBBP	SERPINE1
EP300	ENO1
EP300	SERPINE1
HIF1A	ENO1
HIF1A	SERPINE1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	TEK
SMAD2	CTGF
SOS1	SPRY3
VDR	SLC34A2
RXRG	EHHADH
RXRG	FABP4
IRF7	IFNA8
IRF7	IFNA10
NFYA	HLA-DPB1
NFYC	HLA-DQA2
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MYBL2	CDKN1C
USF2	ABCA1
SP1	CAV1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
EGR1	COL2A1
SP3	COL2A1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
STAT4	IRF1
CEBPA	IVL
ERG	MMP2
FLI1	MMP2
SPI1	MMP2
ATF1	PLAUR
RARA	S100A8
PPARA	SERPINE1
POU2F1	SPP1
JUN	TFRC
STAT1	TIMP1
ERG	TNNC1
STAT1	TP53
HIF1A	VHL
ETS1	VWF
ETS2	VWF
SMAD3	ZFP36
