PDE3A	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	CREB1
PRKACA	ATF2
PRKACA	ATF4
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	ATF6B
MAPK8	SMAD3
SMAD3	E2F4
RAPGEF3	MAPK14
MAPK14	CEBPB
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
MAPK8	ELK1
ELK1	EGR1
ADORA1	GNAI1
GNAI1	MAPK1
MAPK1	TP53
MAPK1	CREB1
MAPK1	ATF2
MAPK1	ATF4
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	ATF6B
MAPK1	SMAD2
SMAD2	E2F4
GNAI1	MAPK14
SMAD2	SP1
MAPK1	NFKB1
MAPK1	ELK1
ADORA3	GNAI1
HDAC2	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	TP53
CREBBP	CREB1
CREBBP	ATF2
CREBBP	ATF4
CREBBP	CREB3
CREBBP	CREB3L2
CREBBP	CREB3L1
CREBBP	CREB5
CREBBP	ATF6B
HDAC2	RB1
RB1	TFDP1
TFDP1	E2F4
HDAC2	CTBP1
CTBP1	LEF1
LEF1	JUN
JUN	NFKB1
NFKB1	CEBPB
HDAC2	THRB
THRB	GATA4
GATA4	SRF
SRF	ELK1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREB3L4	MITF
VDR	ATP2B1
MAPK9	IL12A
MAPK9	IL12B
MAPK12	IL1B
CREB3L2	AQP2
CREB3L3	AQP2
USF1	XRCC6
BCL6	ADH6
SP1	ADH6
CEBPA	ADH7
USF1	CHI3L1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
NFIC	CYP17A1
ERG	HMOX1
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
