SDHD	FH
FH	MDH1
MDH1	PCK1
PCK1	PPP2R4
PPP2R4	AKT2
AKT2	NR4A1
NR4A1	RXRA
RXRA	RARB
AKT2	NFKB1
AKT2	RELA
PCK1	PKM
PKM	ADCY1
ADCY1	PRKACA
PRKACA	ATF1
MDH1	GOT1
GOT1	ASS1
ASS1	NOS1
NOS1	MAPK1
MAPK1	ETS1
AKT2	CREB1
AKT2	ATF2
AKT2	ATF4
AKT2	JUN
MAPK1	ESR1
PRKACA	CREBBP
PRKACA	EP300
AKT2	MTOR
MTOR	HIF1A
CREBBP	ARNT
GLUD1	CPS1
CPS1	OTC
OTC	NOS1
MAPK1	THRB
THRB	RXRA
MAPK1	NFKB1
MAPK1	RELA
OTC	NOS3
NOS3	CREB3
CREB3	ATF1
NOS3	CREB1
NOS3	ATF2
NOS3	ATF4
NOS1	HRAS
HRAS	JUN
CREB3	CREBBP
CREB3	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
ATF2	IL8
EGR2	FASLG
CREBBP	CDKN1B
CREBBP	ALDOA
EP300	CDKN1B
EP300	ALDOA
HIF1A	CDKN1B
HIF1A	ALDOA
STAT5A	SOCS1
STAT6	PIM1
MAPK13	TNF
RELA	CEBPB
RELA	CEBPG
RELA	IL1A
RELA	IL18
RFX5	HLA-DQA1
RFX5	HLA-DQA2
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
ATF2	CGA
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
SP1	RPL15
RARB	S100A9
ETV4	SPP1
SP1	TAF7
SMAD3	TIMP1
CEBPA	TK1
PAX2	TP53
SP1	TPI1
