AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	MYC
MAPK1	JUN
NFKB1	MYB
PRKACA	CREBBP
CREBBP	SP1
PRKACA	RELA
NFKB1	PPP2CA
PPP2CA	YAP1
MAPK1	STAT1
MAPK1	ESR1
PRKACA	CREB1
MAPK1	STAT3
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT4
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
CREBBP	STAT2
CREBBP	STAT6
MAPK1	SMAD3
MAPK1	FOS
PRKACA	CREB3
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
CREBBP	RBPJL
CREBBP	RBPJ
PRKACA	MAPK14
MAPK14	MAX
PRKACA	MAPK3
MAPK1	ETS1
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
MAPK1	ELK1
ELK1	EGR1
NFKB1	HIF1A
PRKACA	GSK3B
GSK3B	ARNTL
PRKACA	PRKAG2
PRKAG2	CRY1
CRY1	NPAS2
GSK3B	CLOCK
CEBPA	E2F2
CEBPA	E2F3
MAPK1	ETS2
JUP	MYC
GLI3	WNT2B
NR1H4	ABCB4
SMAD2	CDKN2B
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREBBP	TEK
HIF1A	HKDC1
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS2
STAT6	CCND1
PAX6	GCK
PAX6	PDX1
HNF1A	FOXA3
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT1
RXRA	ACADL
RXRB	ANGPTL4
NFKB1	CEBPB
NFKB1	IL23A
NFYB	HLA-DQA2
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DMA
MAPK3	IL23A
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12B
MAPK10	IL18
MAPK12	IL1A
RFXANK	HLA-DMA
RFXANK	HLA-DMB
RFXANK	HLA-DOA
SP1	COL4A2
USF2	ABCA1
CREB1	ADRB2
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
RARG	CRABP2
NFKB1	CSF1
ETS1	CSF2
USF2	CTSB
SP1	CTSL
SP3	CTSL
SP1	DKC1
SP3	DKC1
SP1	EGFR
CREB1	ERBB2
ELK1	ERBB2
JUN	F3
JUND	F3
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
CREB1	HMOX1
CEBPB	HP
MYB	MYB
NFKB1	MYC
MYB	NCL
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PAX6	PDHX
JUN	PENK
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
USF2	THBS1
