ACY1	ARG1
ARG1	NOS1
NOS1	RASD1
RASD1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
NOS1	HRAS
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
MAPK1	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
PRKACA	PPARA
MAPK1	FOXO3
ARG1	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
NOS3	CREB1
CHUK	PTEN
PTEN	PLCE1
PLCE1	PRKACA
CHUK	NFKB1
NFKB1	HIF1A
HIF1A	CREBBP
CREBBP	SP1
NFKB1	TNF
TNF	MTOR
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
CHUK	FOXO1
FOXO1	PPARGC1A
PPARGC1A	PPARA
CHUK	FOXO3
HIF1A	EP300
NFKB1	NOS3
IKBKB	PTEN
IKBKB	NFKB1
IKBKB	FOXO1
IKBKB	FOXO3
GSS	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PRKACA
PRKCA	MAPK1
PRKCA	MTOR
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	CREB3
PRKCA	CREB1
GRIN2B	CALML6
CALML6	ADCY1
ADCY1	PRKACA
CALML6	CAMK2A
CAMK2A	CREBBP
GRIN2B	ITPR1
ITPR1	PRKCA
GRIN2B	NOS1
CAMK2A	EP300
CAMK2A	CREB1
GRIN1	CALML6
GRIN1	ITPR1
GRIN1	NOS1
GRIN2A	CALML6
GRIN2A	ITPR1
GRIN2A	NOS1
GRIN2D	CALML6
GRIN2D	ITPR1
GRIN2D	NOS1
GRIN3A	DLG4
DLG4	YAP1
YAP1	FGF1
FGF1	IGF1R
IGF1R	PRKACA
YAP1	SMAD2
SMAD2	CREBBP
RXRA	PPARG
CREBBP	PPARGC1A
DLG4	WWTR1
WWTR1	YWHAQ
YWHAQ	FOXO3
SMAD2	EP300
CREBBP	CREB1
GLI3	WNT5A
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
EP300	FASLG
CREBBP	FLT1
FOXO1	PCK1
NFKB1	VEGFA
NFKB1	VEGFB
EPAS1	TGFB2
ETS1	VEGFB
MYC	CKS1B
MYC	VEGFB
NFKB1	CCND1
RELA	CCND1
FOXO3	BCL2L11
FOXO3	PCK1
PPARA	ACSL4
PPARA	SCD5
PPARA	FADS2
PPARG	GK
RXRA	SLC27A4
RXRA	CPT1B
NFYA	LOC101060835
CEBPB	AFP
USF1	B2M
ETS1	FOSL1
TFAP2A	HMOX1
JUN	MT1A
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
TP53	S100B
CEBPA	TF
