HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
MAPK1	CREB1
MAPK1	MYC
HRAS	RAF1
RAF1	RELA
RAF1	NFKB1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	JUN
MAPK1	ATF2
MAPK1	ATF4
ITGB2	PTK2
PTK2	MAPK1
ITGB2	PIK3R5
PIK3R5	AKT3
AKT3	CREB1
PIK3R5	GSK3B
GSK3B	MYC
AKT3	RELA
AKT3	NFKB1
PIK3R5	PLCE1
AKT3	JUN
AKT3	ATF2
AKT3	ATF4
TP53	GADD45A
TCF7L2	MYC
TCF7L1	BIRC5
JUN	CXCL1
STAT4	CCND3
STAT5B	CCND2
PIK3CD	AKT3
PIK3R1	PDPK1
EPAS1	TGFB2
RXRG	FABP4
IRF7	IFNA10
MAPK3	IL23A
MAPK9	NOS2
MAPK9	TNF
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
SP3	CTSL
PPARG	EGFR
JUN	NFKB2
ATF1	PLAUR
SP2	PLP1
NFIC	POLE2
