CREB3L3	FOSB
GLI3	BMP2
TFDP2	CCNE2
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
SMAD3	MYC
NFKB1	TNF
MAPK9	JUN
CREBBP	HK1
CREBBP	SERPINE1
CREBBP	PFKFB1
EP300	HK1
EP300	SERPINE1
EP300	PFKFB1
HIF1A	HK1
HIF1A	SERPINE1
HIF1A	PFKFB1
ARNT	CDKN1A
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	CCND1
WWTR1	FGF1
SMAD1	ID4
SMAD4	ID2
TCF7	CCND2
TCF7L2	CCND3
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
STAT4	SOCS2
STAT5B	SOCS1
CREB1	MITF
MITF	TYRP1
LEF1	MITF
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CG	PDPK1
PIK3R3	PDPK1
FOS	FIGF
FOS	VEGFB
ATF4	MCL1
CREB3L1	MCL1
PPARD	FABP3
PPARD	UCP1
RXRA	CYP8B1
RXRA	ACSL3
RXRG	EHHADH
IRF7	IFNA8
NFYC	HLA-DQA2
MAPK1	IL1A
MAPK1	IL1B
MAPK1	IL18
MAPK1	TNF
RFXAP	LOC100507714
RFXAP	HLA-DRA
NFAT5	PTGS2
ETS2	TWF2
MYB	TSC22D3
MYBL1	TSC22D3
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
USF2	B2M
GLI1	BCL2
ATF1	BCL2
CEBPA	BCL2
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
REL	CSRP1
SP3	CTSL
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
TFAP2A	CYP11A1
ETS1	DNTT
SP1	EGFR
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
E2F1	HIST1H2AM
RELA	IL2
PPARA	MMP9
SPI1	NFKB1
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
SPI1	SCARB2
PPARA	SERPINE1
SP1	SERPINE1
EGR1	TFPI2
JUN	TFRC
PAX8	TG
EGR4	TNF
ERG	TNNC1
JUN	TNNC1
JUN	TXN
HIF1A	VHL
ERG	VIM
