NR3C2	KRAS
KRAS	MAPK14
MAPK14	CEBPB
AR	PRKACA
PRKACA	NFKB1
NFKB1	CEBPB
PGR	MAPK14
CYP11B2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	MAPK14
SRD5A1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	AKT3
AKT3	NFKB1
SRD5A2	UGT2B11
SRD5A3	UGT2B11
CACNG1	RASGRP3
RASGRP3	HRAS
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	CALML6
CALML6	HRAS
CACNA1D	CALML6
CACNA1F	RASGRP3
CACNA1S	RASGRP3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
INS	MAPK1
MAPK1	NFKB1
CACNA1A	PRKCA
CACNA1G	CALML6
CACNA1H	CALML6
CACNA1I	CALML6
USF1	XRCC6
