AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	JUN
MAPK1	MYC
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	STAT1
NFKB1	PPP2CA
PPP2CA	YAP1
MAPK1	STAT3
PRKACA	RELA
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
NFKB1	MYB
MAPK1	ESR1
CREBBP	RBPJL
CREBBP	RBPJ
CREBBP	STAT5A
CREBBP	STAT5B
MAPK1	FOS
MAPK1	SMAD3
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
CREBBP	STAT4
PRKACA	CREB1
CREBBP	STAT2
CREBBP	STAT6
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
NFKB1	HIF1A
PRKACA	PAX8
MAPK1	ETS1
MAPK1	ELK1
ELK1	EGR1
CEBPA	E2F2
CEBPA	E2F3
PRKACA	MAPK14
MAPK14	MAX
PRKACA	MAPK3
PRKACA	ATF1
JUP	MYC
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7L2	MYC
MAPK14	CXCL1
EP300	PFKFB1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	TIMP1
ARNT	EDN1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
STAT3	SOCS2
STAT3	CCND3
PAX6	PDX1
CREB3	MITF
LEF1	MITF
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELA	PTGS2
RELA	TRAF1
RELB	ICAM1
RELB	CCL19
PIK3R5	AKT1
PIK3CA	AKT3
PIK3CD	AKT3
PIK3CD	PDPK1
PIK3CG	PDPK1
PIK3R1	AKT1
PIK3R1	PDPK1
PIK3R2	AKT3
PLCG2	EGFR
PIK3R3	PDPK1
RXRA	ACADL
NFKB1	CEBPB
NFKB1	IL23A
NFYA	HLA-DOB
MAPK3	NOS2
MAPK3	IL23A
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK12	IL1A
CREB1	ADRB2
ELK1	CCT8
ESR2	CD68
SPI1	CD68
POU2F2	CD79A
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
USF1	CTSB
USF2	CTSB
SP1	CTSL
PPARG	GADD45A
RARA	GADD45A
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
CEBPB	HP
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
PAX6	PDHX
JUN	PENK
ATF1	PLAUR
TFAP2A	POLD2
JUN	TNNC1
ETS1	VWF
ETS2	VWF
NFIC	VWF
