CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	HRAS
HRAS	JUN
MAPK1	ETS1
MAPK1	SMAD4
SMAD4	LEF1
MAPK1	ETS2
PRKCA	CREB3
CREB3	CREBBP
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	SP1
MAPK8	JUN
PRKCE	ARAF
ARAF	MAPK1
PRKCE	TJP1
TJP1	CTNNB1
CTNNB1	LEF1
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
PRKCE	RAF1
HIF1A	PFKFB4
HIF1A	PFKL
STAT5A	SOCS4
STAT5B	SOCS5
RBPJ	HES5
TP53	BAX
REL	CSF2
CEBPB	F8
NFKB1	F8
AR	F9
CEBPA	F9
NFKB1	FBP1
ETS1	VWF
ETS2	VWF
