DRD2	GNAI1
GNAI1	MAPK1
MAPK1	TP53
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PPARA
GNAI1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
GNAI1	HRAS
HRAS	JUN
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	TP53
PRKAG2	PPARGC1A
PPARGC1A	PPARA
PRKAG2	MTOR
MTOR	PPARG
PPARG	RXRA
PPARG	RXRB
PPARG	RXRG
ADRA1A	GNAQ
GNAQ	HRAS
CALM1	HRAS
HRAS	MAPK1
CALM1	ADCY1
ADCY1	PRKACA
CALM1	CAMK2A
CAMK2A	CREBBP
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
CALM2	HRAS
CALM2	ADCY1
CALM2	CAMK2A
CALM3	HRAS
CALM3	ADCY1
CALM3	CAMK2A
TNNC1	PLCD3
PLCD3	PRKCA
PRKCA	MAPK1
PRKCA	PRKACA
PLCD3	PIK3R5
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
TP53	CDKN1A
EPAS1	FIGF
ETS1	IL8
ETS1	VEGFA
NFKB2	BCL2L1
CREB3	MCL1
FOXO3	G6PC
PPARA	CPT2
PPARA	SLC27A1
PPARA	ACOX2
PPARG	CPT1A
PPARG	ACSL5
RXRA	CPT1C
NFYA	HLA-DOB
NFYC	HLA-DRB1
USF1	CTSB
ETS1	DNTT
TAL1	NFKB1
