HSD17B1	CYP3A4
CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	CREB1
PRKCA	MTOR
MTOR	PPARG
PRKCA	CREB3
CREB3	ATF1
NFKB1	NFKB2
PRKCA	HRAS
HRAS	JUN
PRKCA	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
MTOR	HIF1A
HRAS	MAPK14
MAPK14	CEBPB
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
PRKCA	MAPK1
MAPK1	ETS1
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
PRKCA	ATF2
PRKCA	ATF4
RXRA	RARB
MAPK1	TP53
HRAS	MAPK8
MAPK8	JUND
MAPK1	SMAD2
SMAD2	SP1
FOS	MMP9
NFKB1	TNF
CREBBP	GAPDH
CREBBP	SERPINE1
EP300	GAPDH
EP300	SERPINE1
HIF1A	GAPDH
HIF1A	SERPINE1
STAT4	SOCS5
STAT5A	SOCS1
STAT5B	SOCS3
STAT6	PIM1
EP300	MITF
MAPK1	CCND1
TP53	SESN1
TP53	SERPINE1
EPAS1	PGF
EPAS1	VEGFB
EPAS1	VEGFC
ETS1	VEGFA
ETS1	VEGFB
FOS	PGF
AR	KLK3
JUN	MMP2
MYC	IL8
NFKB1	NOS2
NFKB1	CCND1
NFKB2	TRAF3
RELA	TRAF6
PIAS2	CDKN2B
IRF8	IL12A
FOXO3	G6PC
FOXO3	PCK1
CREB3L2	BCL2
PPARA	CYP8B1
PPARA	CYP4A22
PPARA	HMGCS2
PPARA	APOA1
PPARA	ACOX2
PPARA	FADS2
PPARD	ANGPTL4
PPARG	FABP4
PPARG	SLC27A1
PPARG	MMP1
PPARG	OLR1
RXRA	CPT1C
RXRA	CPT1B
RXRA	FABP1
NFYB	HLA-DPA1
MAPK1	IL1A
MAPK1	IL1B
MAPK11	NOS2
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXANK	HLA-DRB5
RFXANK	CD74
PDX1	INS
CREB3	AQP2
CREB1	AQP2
CREB3L4	AQP2
NFAT5	PTGS2
CEBPB	ABCB1
CREB1	CGA
PPARA	CYP1A1
SP1	CYP1A1
SP3	CYP1A1
USF1	CYP1A1
SP1	CYP21A2
JUNB	DCN
MYC	DDX18
E2F4	DHFR
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
CREB1	HMOX1
NFKB1	SAA2
PPARA	SERPINE1
CREB1	TF
JUN	TFRC
CEBPB	TNF
ERG	TNNC1
FOS	TSHB
HIF1A	VHL
