AR	PRKACA
PRKACA	MAPK1
MAPK1	JUN
PRKACA	CREBBP
CREBBP	SP1
PRKACA	CREB1
MAPK1	MYC
MYC	ZBTB17
MYC	PIAS2
PRKACA	EP300
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK1	ELK1
ELK1	EGR1
PRKACA	NFKB1
PRKACA	RELA
NFKB1	CEBPB
CEBPB	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
MAPK1	ETS1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
PRKACA	GLI2
PRKACA	GLI3
MAPK1	FOS
MAPK1	STAT1
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	ATF2
MAPK1	ETS2
RELA	BIRC2
GLI1	WNT7B
GLI3	BMP4
GLI3	WNT3
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
EGR2	FASLG
CREBBP	ALDOA
EP300	ALDOA
HIF1A	ALDOA
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT5A	SOCS7
STAT5A	SOCS1
STAT6	SOCS4
STAT6	PIM1
TP53	PERP
RELA	VEGFC
STAT1	FIGF
MYC	IL8
RELA	TRAF6
PPARA	CYP4A22
PPARG	SLC27A1
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRA	UBC
RXRB	GK2
RXRB	MMP1
RXRB	OLR1
RXRG	ACSL3
RXRG	ACSL4
RXRG	ACADM
RXRG	APOC3
RXRG	ANGPTL4
RXRG	PDPK1
IRF7	IFNA17
IRF7	IFNA21
JUN	TNF
JUN	CCL4L1
STAT1	CXCL11
CEBPA	PER2
NFKB1	IL18
NFYB	HLA-DOA
MAPK1	IL6
MAPK9	IL1B
MAPK9	IL6
RFX5	CD74
RFXAP	LOC100507709
CREB3L2	AQP2
CREB3L3	AQP2
MYB	TSC22D3
MYBL1	TSC22D3
BCL6	ADH6
SP1	ADH6
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
SP1	AKR1B1
POU2F1	AKR1C3
NFIC	ALAS1
CEBPA	ALB
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
USF1	APEX1
SP3	APOA1
USF1	APOA2
USF2	APOA2
CEBPA	APOB
SP1	CCND1
E2F3	CDC45
E2F1	CDC45
ATF2	CGA
NFKB1	KLK3
PPARD	LIPA
PPARG	MMP9
FOS	MT1A
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
RARB	S100A9
SP1	TAF7
CEBPA	TK1
SP1	TPI1
