TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	ELK1
ELK1	EGR1
PRKACA	MAPK1
MAPK1	ETS1
MAPK8	JUN
MAPK8	FOS
PRKACA	CREB1
PRKACA	NFKB1
PRKACA	ATF2
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	STAT3
MAPK1	STAT1
PRKACA	RELA
MAPK8	TP53
NFKB1	TRAF6
TRAF6	MYD88
MAPK8	SMAD3
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK8	SMAD4
PRKACA	NFATC1
MAPK8	NFATC3
PRKACA	CALML6
CALML6	PPP3CA
PPP3CA	NFATC4
MAPK8	JUND
PRKACA	ATF4
PRKACA	ATF1
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
LEF1	BIRC5
LEF1	CCND1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
JUN	IL8
NFKB1	CXCL1
NFKB1	IL8
MAPK11	IL8
RBPJL	FCER2
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
SMAD3	MYC
MAPK8	JUN
MAPK9	SMAD4
CREBBP	HK1
CREBBP	ANGPT4
CREBBP	PFKFB2
EP300	HK1
EP300	ANGPT4
EP300	PFKFB2
HIF1A	HK1
HIF1A	ANGPT4
HIF1A	PFKFB2
TEAD1	SNAI2
TEAD4	CCND3
SOS1	SPRY4
STAT5A	SOCS7
STAT6	SOCS4
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RELB	CCL13
PIK3CA	AKT1
PIK3R1	AKT3
NFKB1	TRAF3
NFKB2	BIRC2
FOXO3	PCK2
CREB3L3	MCL1
CREB3L3	BCL2
PPARD	CPT1C
PPARD	PDPK1
PPARD	UBC
RXRA	CPT2
RXRA	FABP3
RXRA	ACSL1
RXRA	UBC
RXRA	SCD5
RXRB	GK2
RXRB	ACAA1
RXRG	CYP27A1
MAPK11	IL18
MAPK11	NOS2
RFX5	CD74
RFXAP	LOC100507709
MYB	TSC22D3
MYBL1	TSC22D3
SP1	ADA
SP2	CD14
SP3	COL2A1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
ESR1	GADD45B
PPARA	GADD45B
PPARG	GADD45B
RARA	GADD45B
ATF1	GH2
CREB1	GH2
TFAP2A	PLAT
ETS1	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
FLI1	POLR2G
PPARG	POU2F1
ATF4	PPP1R15A
NFKB1	PPP2R4
CEBPB	PTGS2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
SPI1	SCARB2
PPARD	SERPINE1
USF2	SERPINE1
EGR1	TFPI2
ATF1	TG
ATF1	TH
EGR4	TNF
ETS1	TNNC1
NFKB1	TNNC1
JUN	TXN
PAX1	VHL
ETV4	VIM
