AR	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	JUN
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	NFKB1
NFKB1	TP53
SMAD2	TFDP1
PRKACA	XBP1
XBP1	CEBPA
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK1	ESR1
NFKB1	HIF1A
MAPK1	ELK1
ELK1	EGR1
PRKACA	GLI2
PRKACA	GLI3
NFKB1	TRAF6
TRAF6	MYD88
MYD88	VDR
MAPK1	FOXO1
PRKACA	CREB1
NFKB1	CEBPB
PRKACA	GLI1
PRKACA	EP300
CREBBP	ARNT
MAPK1	FOXO3
CREB3L3	FOS
RELA	BIRC8
RELA	BIRC2
RELA	XIAP
GLI1	WNT7A
GLI1	WNT7B
GLI1	WNT8B
GLI2	BMP2
ARNTL	PER3
ARNTL	NR1D1
NPAS2	CRY1
NPAS2	PER1
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
JUN	CCND2
CREB3L4	IL8
EP300	FASLG
CREB3L3	IL8
CREBBP	ENO3
CREBBP	FLT1
CREBBP	TFRC
EP300	ENO3
EP300	FLT1
EP300	TFRC
HIF1A	ENO3
HIF1A	FLT1
LEF1	AXIN2
LEF1	NKD1
CREBBP	MITF
EP300	MITF
PIK3CA	AKT2
RBPJL	HES1
NFKB1	VEGFA
RELA	FIGF
EPAS1	TGFB2
FOS	PGF
MYC	CKS1B
MYC	MMP2
RELA	CCND1
ATF2	MCL1
CREB3L2	BCL2
PPARA	ACSL4
PPARA	ANGPTL4
PPARD	ANGPTL4
PPARG	GK
PPARG	SCD5
RXRA	FABP1
RXRB	ACSL5
CREB1	HLA-DPB1
MYD88	IFNA21
NFYA	LOC101060835
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK8	IL1B
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
RFX5	HLA-DOA
RFX5	HLA-DOB
RFXAP	HLA-DRA
NFATC1	PTGS2
MYB	TSC22D3
MYBL1	TSC22D3
USF1	ABCA1
SPI1	B2M
USF1	B2M
PPARG	CDKN1A
ETS1	COX4I1
RARA	CRABP2
RARB	CRABP2
CREB1	CYP11A1
NFKB1	F3
RELA	F3
JUNB	IVL
SP1	JUN
NFKB1	KLK3
SP3	KLK3
PPARA	LIPA
PPARD	LIPA
USF1	LIPC
RARA	MIF
ATF1	NTS
FOS	NTS
JUN	NTS
MYC	ODC1
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
MYBL2	RBL1
RARG	S100A8
TP53	S100B
MYBL2	SP1
SP1	SPP1
CEBPA	TF
CREB1	TIMP1
TFAP2A	TIMP1
ATF2	TNF
MYC	TP53
USF1	TP53
STAT3	TRH
