TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
PRKACA	NFKB1
NFKB1	HIF1A
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	MAPK1
MAPK1	STAT3
PRKACA	CREBBP
CREBBP	SP1
MAPK1	STAT1
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
MAPK8	TP53
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	RELA
MAPK1	ETS1
PRKACA	XBP1
XBP1	CEBPA
PRKACA	ATF2
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK8	ELK1
PRKACA	EP300
CREBBP	ARNT
MAPK1	ESR1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
ELK1	EGR1
FPGS	DHFR
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	JUN
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	NFKB1
STAT3	STAT5A
STAT3	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK1	TP53
PIK3R5	MTOR
SMAD2	YAP1
MAPK1	RELA
GATM	NOS3
NOS3	ATF2
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	ELK1
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
MAPK1	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
GLI3	WNT16
LEF1	MYC
TCF7	BIRC5
CTNNB1	CCND2
MAPK10	SMAD4
CREBBP	PFKFB4
EP300	PFKFB4
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	CCND1
WWTR1	FGF1
SMAD1	ID4
SMAD4	ID2
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
STAT5A	SOCS7
STAT6	SOCS4
MAPK3	CDK4
NFKB1	TRAF3
NFKB2	BIRC2
FOXO3	PCK2
CREB3L3	BCL2
PPARD	CPT1C
PPARD	UBC
RXRA	CPT2
RXRA	ACSL1
RXRB	GK2
RXRB	ACADM
MYD88	IFNA7
NFYB	HLA-DPA1
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFXAP	LOC100507714
MYB	TSC22D3
MYBL1	TSC22D3
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
TFAP2A	HMOX1
JUN	MMP7
EGR1	PLAU
ETS2	PLAU
USF2	PTGS2
POU2F1	SFTPA1
CREM	TH
SMAD3	TNNC1
ETS1	VWF
ETS2	VWF
NFIC	VWF
