HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
MAPK1	CREB1
SMAD2	SP1
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
RB1	E2F2
RB1	E2F3
CHRM3	GNG12
GNG12	MAPK1
CHRM1	GNAI1
GNAI1	MAPK1
CHRM1	PIK3R5
PIK3R5	AKT3
AKT3	CREB1
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
AKT3	CDKN1A
CDKN1A	CCNA1
CCNA1	E2F1
CCNA1	E2F2
CCNA1	E2F3
CHRM5	GNG12
CHRM4	GNAI1
CHRM2	GNAI1
CHRM2	PIK3R5
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
TCF7L2	MYC
NFKB1	IL23A
NFYA	HLA-DOB
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12B
EGR1	COL2A1
SP3	COL2A1
ETS1	DNTT
ETV4	MMP2
SP1	MMP2
TFAP2A	MMP2
ATF1	PLAUR
