HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
PRKCA	CREB1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	MAPK1
MAPK1	TP53
PRKACA	XBP1
XBP1	CEBPA
CREB3	ATF1
PRKACA	CREM
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	HRAS
HRAS	JUN
NFKB1	NFKB2
SMAD2	YAP1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	STAT3
MAPK1	MYC
MAPK1	STAT1
PRKCA	FOS
MAPK1	ESR1
MAPK1	SMAD3
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	ETS1
MAPK1	FOXO1
PRKCA	MAPK3
RB1	E2F2
RB1	E2F3
PRKCA	ATF2
RB1	TFDP2
PRKCA	EGLN2
EGLN2	EPAS1
MTOR	PPARG
MAOA	CYP3A4
CYP3A4	CBR1
CBR1	CHRNA7
CHRNA7	JAK2
JAK2	STAT5A
JAK2	STAT5B
NFKB1	MYB
ETS1	SPI1
MAPK1	FOXO3
MAPK1	ELK4
ETS1	SRF
MAPK1	ELK1
ELK1	EGR1
SMAD2	E2F4
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKCA	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
PRKCA	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
SMAD2	WWTR1
MAP3K1	CHUK
CHUK	RELB
JAK2	STAT2
JAK2	STAT4
JAK2	STAT6
ATF6B	BDNF
CREB3L4	CRH
NR3C2	ATP1A3
NR3C2	ATP1A4
NR3C2	ATP1B2
NR3C2	ATP1B3
CREB3L1	FOS
NFKB1	BCL2L1
RELA	BIRC7
GLI1	WNT5A
GLI1	WNT2B
GLI2	PTCH1
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
GLI3	GLI1
TFDP2	CCNE2
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER2
ARNTL	CRY1
ARNTL	PER1
ARNTL	RORA
ARNTL	RORC
ARNTL	BHLHE41
MYC	CCND1
MAPK14	CXCL1
ELK1	BIRC2
ELK1	BIRC3
EGR3	FASLG
SMAD3	MYC
MAPK8	JUN
MAPK9	JUN
RELA	MMP9
RELA	TNF
CREBBP	FIGF
CREBBP	HK1
CREBBP	ANGPT4
CREBBP	PFKFB1
CREBBP	PGF
CREBBP	PGK1
EP300	FIGF
EP300	HK1
EP300	ANGPT4
EP300	PFKFB1
EP300	PGF
EP300	PGK1
HIF1A	FIGF
HIF1A	HK1
HIF1A	ANGPT4
HIF1A	PFKFB1
ARNT	CDKN1B
ARNT	EDN1
ARNT	EGF
ARNT	ENO1
ARNT	ENO2
ARNT	HMOX1
ARNT	LDHA
ARNT	PFKFB1
ARNT	PGK1
ARNT	SLC2A1
ARNT	VEGFB
YAP1	CTGF
YAP1	ID3
YAP1	ID4
YAP1	ITGB2
YAP1	AXIN2
YAP1	NKD1
YAP1	CCND2
WWTR1	AREG
WWTR1	SERPINE1
WWTR1	AREGB
SMAD3	CTGF
LEF1	BIRC2
LEF1	SNAI2
LEF1	SOX2
LEF1	AXIN1
LEF1	NKD1
TCF7	SNAI2
TCF7	SOX2
TCF7L2	SOX2
TCF7L2	AXIN1
TEAD1	GLI2
TEAD1	BIRC5
TEAD1	CCND2
TEAD4	CTGF
TEAD4	AXIN1
TEAD4	AXIN2
TEAD3	BIRC5
TEAD3	CCND1
TP73	BBC3
TCF7L1	BIRC2
TEAD2	CTGF
TEAD2	GLI2
TEAD2	AXIN2
TEAD2	CCND2
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT3	CCND2
STAT3	SOCS5
STAT4	SOCS1
STAT5A	CCND2
STAT5A	CCND3
STAT5B	SOCS4
STAT5B	CCND1
STAT6	SOCS1
STAT6	CCND3
PAX6	GCK
HNF1A	HNF4G
MITF	DCT
MAPK3	CDK4
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELA	CXCL2
RELA	NFKBIA
RELA	CCL4L1
RELB	ICAM1
PIK3CA	AKT3
PIK3CA	PDPK1
PIK3CG	PDPK1
PIK3R3	PDPK1
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
NFKB1	PGF
NFKB1	VEGFB
NFKB1	VEGFC
STAT3	VEGFC
EPAS1	VEGFB
MAX	CKS1B
MYC	VEGFB
MYC	VEGFC
NFKB2	BCL2
NFKB2	TRAF5
PIAS2	CDKN2B
FOXO3	BCL2L11
FOXO3	CDKN1B
PPARA	APOA5
PPARA	DBI
PPARA	HMGCS2
PPARA	SCD5
PPARA	ACSBG2
PPARG	CPT1C
PPARG	ACSL1
PPARG	MMP1
RXRA	SLC27A4
RXRA	APOA5
RXRA	PLIN1
RXRB	ACSL4
RXRG	ADIPOQ
MAPK10	IL8
MYD88	IFNA8
MYD88	IFNA10
NFYA	HLA-DPB1
MAPK1	TNF
MAPK3	NOS2
MAPK3	IL23A
MAPK8	NOS2
MAPK8	IL23A
MAPK8	TNF
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
MAPK9	IL1A
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
