HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD3
MAPK1	SMAD2
SMAD2	SP1
PRKCA	HRAS
HRAS	JUN
MAPK1	ETS1
MAPK1	MYC
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	TP53
MAPK1	STAT3
MAPK1	SMAD4
MAPK1	ESR1
HRAS	MAPK14
MAPK14	MAX
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
PRKCA	RAF1
RAF1	NFKB1
MTOR	PPARG
PRKCA	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
RAF1	RELA
SMAD2	SMAD7
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
PRKCA	FOS
PRKCA	ATF2
PRKCA	MAPK3
MAPK1	STAT1
MAOA	CYP3A4
CYP3A4	CBR1
CBR1	CHRNA7
CHRNA7	JAK2
JAK2	STAT5A
JAK2	STAT5B
JAK2	STAT4
NFKB1	MYB
SMAD2	WWTR1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKACA	PPARA
JAK2	STAT2
JAK2	STAT6
SMAD2	E2F4
CREBBP	RBPJL
CREBBP	RBPJ
PRKCA	CREB1
MAPK1	ELK1
NFKB1	NFKB2
LEF1	PPARD
ATF6B	ARC
ATF4	ARC
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
GLI3	PTCH1
TP53	GADD45G
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	BHLHE41
CLOCK	PER2
CLOCK	NR1D1
FOSB	NFKB1
JUN	RELA
LEF1	MYC
TCF7	BIRC5
TCF7L2	MYC
TCF7L1	BIRC5
MAPK14	CXCL1
RBPJ	FCER2
CTNNB1	CCND2
CTNNB1	CCND3
CREBBP	FASLG
MAPK10	SMAD4
RELA	IL6
CREBBP	EGF
CREBBP	PFKFB4
CREBBP	PFKL
EP300	EGF
EP300	PFKFB4
EP300	PFKL
HIF1A	EGF
HIF1A	PGK1
HIF1A	TFRC
ARNT	EDN1
ARNT	FIGF
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
ARNT	BCL2
ARNT	TIMP1
ARNT	VEGFA
RELA	HIF1A
STAT3	HIF1A
YAP1	GLI2
YAP1	BIRC2
YAP1	ID1
YAP1	ID3
YAP1	CCND1
YAP1	SNAI2
YAP1	AREGB
YAP1	AXIN2
WWTR1	FGF1
WWTR1	BBC3
WWTR1	BIRC5
WWTR1	AREG
SMAD1	ID4
SMAD2	SERPINE1
SMAD4	ID2
LEF1	CCND3
TCF7	SNAI2
TCF7	CCND2
TCF7L2	BIRC2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS4
STAT5B	SOCS5
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
BBC3	TP53
STAT3	VEGFA
FOS	VEGFB
HIF1A	TGFB1
JUN	PGF
JUN	VEGFC
MYC	IL8
NFKB2	XIAP
NFKB2	TRAF1
RELA	TRAF6
CREB1	BCL2
CREB3L1	MCL1
CREB5	MCL1
PPARA	CYP4A11
PPARA	CYP4A22
PPARA	ACOX1
PPARD	UCP1
PPARD	ACOX3
PPARG	CPT1B
PPARG	SLC27A1
PPARG	UCP1
RXRA	ACSL3
RXRA	ACADL
RXRA	APOA1
RXRA	ACADM
MYD88	IFNA7
NFKB1	CEBPG
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFXAP	HLA-DMA
RFXAP	HLA-DOA
RFXANK	HLA-DMA
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
USF2	ABCA1
SP3	CD14
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
TFAP2A	CDKN1A
USF1	CEACAM1
EGR1	COL2A1
SP3	COL2A1
MYC	EIF4E
TP53	IL8
CEBPA	ITGA2
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
ETV4	MMP9
BCL3	NFKB2
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
JUN	PDHA1
PAX6	PDHX
ATF2	PENK
JUN	PENK
CREM	PLAT
EGR1	PLAU
ETS2	PLAU
ATF1	PLAUR
SP2	PLP1
TFAP2A	POLD2
PPARG	PTGS2
USF2	PTGS2
MYC	PTMA
USF1	S100A6
POU2F1	SFTPA1
NFIC	SFTPC
LEF1	SPP1
CREM	TH
HOXA4	TH
SP1	TIMP1
SMAD3	TNNC1
SMAD4	TNNC1
PAX8	TP53
NFKB1	VWF
