HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
HRAS	MAPK1
MAPK1	TP53
MAPK1	FOXO3
MAPK1	CREB1
MAPK1	SMAD2
SMAD2	SP1
HRAS	RAF1
RAF1	NFKB1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	ELK1
ELK1	EGR1
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
RAF1	RELA
ITGB2	PIK3R5
ITGB2	PTK2
PTK2	MAPK1
PIK3R5	AKT3
AKT3	FOXO3
AKT3	CREB1
CREBBP	SP1
AKT3	NFKB1
PIK3R5	PLCE1
AKT3	CREB3
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	RELA
RBPJ	FCER2
CTNNB1	CCND3
ELK1	XIAP
ELK1	CCND1
EGR3	FASLG
RELA	IL6
CREB3L2	IL8
CREB3L2	PCNA
CREBBP	FIGF
CREBBP	PFKL
CREBBP	BCL2
CREBBP	SLC2A1
EP300	FIGF
EP300	PFKL
EP300	BCL2
EP300	SLC2A1
HIF1A	FIGF
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT3	SOCS4
STAT3	SOCS1
HNF1A	HNF4G
BBC3	TP53AIP1
TP53	RRM2
NFKB1	FIGF
ETS1	VEGFC
RXRB	OLR1
NFYA	HLA-DRB1
NFYA	HLA-DRB5
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
MAPK11	IL12B
MAPK9	IL1B
MAPK9	IL6
MAPK9	IL12A
MAPK9	IL12B
RFXAP	HLA-DOB
RFXAP	HLA-DPA1
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
NFAT5	PTGS2
TFAP2A	ERBB2
PPARG	ESR1
STAT5B	ESR1
E2F1	HIST1H2AM
PPARG	PTGS2
MYC	PTMA
USF1	PTPN6
USF2	PTPN6
RARG	S100A9
NFIC	SFTPC
EGR1	SOD1
SP1	SOD1
TFAP2A	TAF7
HOXA4	TH
EGR1	THBS1
USF1	THBS1
ATF1	TNF
SMAD4	TNNC1
TFAP2A	TNPO1
E2F4	TOP1
CREB1	TRH
