CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
HRAS	JUN
HRAS	FOS
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
ETS1	SPI1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	MYC
HRAS	RAF1
RAF1	NFKB1
PRKACA	PPARA
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PIK3R5	HIF1A
HIF1A	ARNT
MAPK1	FOXO1
HRAS	MAPK3
MAPK1	ATF2
MAPK1	STAT1
RAF1	RELA
MAPK1	CREB1
HRAS	MAPK14
HRAS	MAPK11
HRAS	MAPK13
HRAS	MAPK8
HRAS	MAPK9
HRAS	MAPK10
STAT1	MYD88
MAPK1	SMAD4
MAPK1	STAT3
STAT3	IRF1
HRAS	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
NFKB1	TRAF6
TRAF6	IRF5
CAMK2A	ATF1
MAPK1	ATF4
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
MAPK14	CEBPB
PIK3R5	AKT3
AKT3	IRF3
MAPK1	ESR1
MAPK1	SMAD3
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
PIK3R5	MTOR
MTOR	PPARG
STAT3	STAT4
SMAD4	LEF1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	ATF6B
MAPK1	ELK1
LOC400927-CSNK1E	WWTR1
MAPK1	FOXO3
MAPK1	ETS2
NFKB1	NFKB2
PLCB1	EGFR
EGFR	STAT5A
EGFR	STAT5B
STAT3	STAT2
STAT3	STAT6
ELK1	EGR1
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	HRAS
PRKCA	FOS
PRKCA	PRKACA
PRKCA	RAF1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
PRKCA	MAPK3
PRKCA	ATF2
PRKCA	CREB1
PRKCA	MAP3K1
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
CREB3	ATF1
PRKCA	ATF4
SMAD2	YAP1
MTOR	AKT3
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKCA	ATF6B
SMAD2	WWTR1
STAT3	STAT5A
STAT3	STAT5B
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
TNF	SELE
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF6B	BDNF
CREB3L4	CRH
ATF4	CRH
MAPK1	PDYN
CREB3L2	NPY
NR3C2	ATP1A1
NR3C2	ATP1A4
NR3C2	ATP1B3
NR3C2	SCNN1A
NR3C2	SGK1
CREB3	PDYN
CREB1	PDYN
ATF2	PDYN
CREB5	FOS
NFKB1	BIRC2
NFKB1	BIRC7
GLI1	PTCH1
GLI1	BMP4
GLI1	WNT6
GLI1	WNT10A
GLI1	WNT3A
GLI2	HHIP
ARNTL	PER3
MAPK13	CXCL1
RELA	CXCL1
RELA	CCL5
ELK1	BIRC2
ELK1	CCND1
JUN	CCND2
CREB1	IL8
ATF2	PCNA
CREB3L4	IL8
EGR2	FASLG
RELA	MMP9
CREB3L2	PCNA
CREB3L3	IL8
CREB5	PCNA
CREBBP	EDN1
CREBBP	ENO3
CREBBP	ALDOA
CREBBP	PGF
CREBBP	SLC2A1
CREBBP	TFRC
CREBBP	HKDC1
EP300	EDN1
EP300	ENO3
EP300	ALDOA
EP300	PGF
EP300	SLC2A1
EP300	TFRC
EP300	HKDC1
HIF1A	EDN1
HIF1A	ENO3
HIF1A	ALDOA
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	SLC2A1
HIF1A	HKDC1
ARNT	CDKN1A
ARNT	ENO3
ARNT	ANGPT1
ARNT	HK3
ARNT	PGF
ARNT	TEK
LEF1	BIRC2
LEF1	SNAI2
LEF1	AXIN1
TEAD1	BIRC2
TEAD1	MYC
TEAD1	CCND3
TEAD4	GLI2
TEAD4	NKD1
TEAD3	MYC
TEAD3	SNAI2
TCF7L1	SNAI2
TEAD2	BIRC2
TEAD2	NKD1
TEAD2	CCND3
SOS1	SPRED2
SOS1	CCND1
SOS1	BCL2L1
STAT4	SOCS1
STAT5B	CCND1
CREBBP	MITF
EP300	MITF
CREB3L3	MITF
RELA	TRAF1
PIK3R5	AKT1
PIK3CA	AKT2
PIK3CD	PDPK1
PLCG2	EGFR
RBPJL	HES1
TP53	RCHY1
TP53	PIDD
TP53	RFWD2
TP53	ZMAT3
TP53	SIAH1
TP53	THBS1
NFKB1	PGF
NFKB1	VEGFC
EPAS1	PGF
EPAS1	SLC2A1
EPAS1	VEGFB
ETS1	MMP2
FOS	IL8
MYC	IL8
MYC	VEGFC
NFKB1	TRAF6
NFKB2	TRAF3
NFKB2	TRAF6
RELA	TRAF6
PIAS2	CDKN2B
CREB1	MCL1
FOXO3	CDKN1B
NFKB1	MYB
PPARA	CYP8B1
PPARA	EHHADH
PPARA	CYP4A22
PPARA	HMGCS2
PPARA	ME1
PPARA	ACSBG2
PPARD	ILK
PPARG	FABP4
PPARG	ACSL3
PPARG	SLC27A1
PPARG	MMP1
PPARG	SCD
RXRA	APOA5
RXRA	DBI
RXRA	SLC27A1
RXRA	LPL
RXRA	PLIN1
RXRA	SCD
RXRA	SCP2
RXRA	ACSBG2
RXRA	ACOX2
RXRA	ACOX3
RXRB	NR1H3
RXRB	APOA5
RXRB	CPT1C
RXRB	CYP4A11
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	DBI
RXRB	EHHADH
RXRB	FABP4
RXRB	FABP1
RXRB	FABP3
RXRB	ACSL3
RXRB	ACSL4
RXRB	ACSL6
RXRB	GK
RXRB	HMGCS2
RXRB	ACADL
RXRB	APOA1
RXRB	APOA2
RXRB	ACADM
RXRB	APOC3
RXRB	ILK
RXRB	SLC27A1
RXRB	SCD
RXRB	UBC
RXRB	UCP1
RXRB	ACSBG2
RXRB	ACOX2
RXRB	ADIPOQ
RXRG	SORBS1
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT1A
RXRG	CPT1B
RXRG	CPT2
RXRG	CYP4A11
RXRG	CYP7A1
RXRG	CYP27A1
RXRG	FABP1
RXRG	ACOX3
RXRG	ADIPOQ
RXRG	CD36
EGR1	CCL5
MAPK1	IL8
MAPK9	IL8
MAPK10	IL8
MAX	CDK6
MAX	CCND1
CREBBP	CDKN2B
SMAD3	PITX2
SMAD4	PITX2
SMAD5	ID2
SMAD5	ID3
SMAD9	ID1
SMAD9	ID4
SP1	CDKN2B
FOS	IL6
FOS	IL12A
FOS	CCL4L2
FOS	CCL3L1
FOS	CCL4
FOS	TNF
FOS	CCL4L1
IRF3	CXCL9
IRF3	CD86
IRF3	CD40
IRF5	IL6
IRF5	IL8
IRF5	IL12B
IRF5	CCL3L1
IRF5	CCL5
IRF7	IFNA1
IRF7	IFNA2
IRF7	IFNA5
IRF7	IFNA13
STAT1	CXCL9
CREB1	HLA-DPA1
CREB1	HLA-DPB1
CREB1	HLA-DQA1
CREB1	HLA-DQA2
CREB1	HLA-DQB1
CREB1	HLA-DRB4
NFYA	LOC100509457
NFYA	HLA-DQA2
NFYB	LOC101060835
NFYB	HLA-DMA
NFYB	HLA-DRB1
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DMB
NFYC	HLA-DOA
NFYC	HLA-DRA
NFYC	HLA-DRB1
NFYC	HLA-DRB3
NFYC	HLA-DRB4
NFYC	HLA-DRB5
MAPK1	TNF
MAPK3	TNF
MAPK8	IL1A
MAPK13	TNF
RELA	CEBPB
RELA	CEBPG
RELA	IL1A
RELA	IL18
RELA	IL23A
RFX5	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DRA
MAPK12	IL6
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
NFAT5	PTGS2
TCF7L1	JUN
HIF1A	HSP90B1
JUN	PLAUR
MYB	CDK1
CEBPA	AFP
CEBPB	AFP
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
RARA	AKR1B1
RELA	AKR1B1
USF2	B2M
TP53	BAK1
MYBL1	BCL2
TP53	BCL2
WT1	BCL2
HIF1A	BNIP3
ATF1	BRCA1
USF2	BRCA1
NFIC	C4BPB
ATF1	CALCA
CREB1	CALCA
USF1	CALCA
CREB1	CCND1
SP1	CD44
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
ATF2	CGA
TFAP2A	COL1A1
ETS1	COX4I1
SP1	COX4I1
RARA	CRABP2
RARB	CRABP2
MYC	EIF4E
ETV4	ERBB2
POU2F2	HLA-DRA
ATF2	HLA-E
NFIC	HSPA1A
SP1	HSPA8
SP1	HSPB1
REL	IFNG
STAT5B	IFNG
EGR1	IGF2
SP3	IGFBP3
SP1	IL1A
ATF1	IL1B
CEBPB	IL1B
SP1	IL1B
EGR1	IL2
POU2F1	IL2
CEBPA	IL5
ETS2	IL5
POU2F1	IL5
ATF1	IL6
CEBPD	IL6
JUND	IL6
TFAP2A	IL6
NFKB2	IL8
ERG	JUN
ETS2	JUN
SMAD4	JUN
SP1	LCAT
ATF1	LDHA
SP3	LHB
MYB	MAT2A
SP2	MAT2A
JUN	MGP
ATF1	NTS
CEBPA	PREB
CEBPB	PRL
POU2F1	PRL
ESR1	PTMA
USF2	PTPN6
