TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	SMAD3
SMAD3	E2F4
SMAD3	SP1
RHOA	RAF1
RAF1	NFKB1
NFKB1	MYB
SMAD3	TFDP1
TFDP1	E2F1
TFDP1	E2F2
TFDP1	E2F3
MAPK8	JUN
MAPK8	TP53
RAF1	MAPK1
MAPK1	MYC
NFKB1	HIF1A
MAPK1	ETS2
RAF1	RELA
MAPK1	STAT1
MAPK8	FOS
MAPK8	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
SMAD3	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
NFKB1	NFKB2
RHOA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	STAT3
RAF1	AKT3
AKT3	CREB1
MAPK8	ATF2
AKT3	ATF4
MAPK8	ELK1
ELK1	EGR1
AKT3	MTOR
MTOR	PPARG
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
MAPK1	ESR1
BCL2	TP53
TP53	CDKN1A
CDKN1A	CCND1
CCND1	RBL1
RBL1	E2F4
TP53	TP73
TP73	YAP1
YAP1	SMAD2
SMAD2	SP1
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	NFKB1
CDKN1A	CCNA1
CCNA1	E2F1
CCNA1	E2F2
CCNA1	E2F3
TP53	PTEN
PTEN	AKT3
AKT3	JUN
YAP1	MYC
PTEN	PIK3R5
PIK3R5	HIF1A
TP53	THBS1
THBS1	PTK2
PTK2	MAPK1
MAP3K1	RELA
MAP3K1	MAPK8
YAP1	LEF1
YAP1	TCF7
YAP1	TCF7L2
YAP1	TCF7L1
CASP3	PAK1
PAK1	MAP3K14
MAP3K14	NFKB2
THBS1	ITGB1
ITGB1	SRC
SRC	STAT3
AKT3	ATF2
TP53	TSC2
TSC2	RHEB
RHEB	MTOR
ITGB1	PRKACA
CREB3	FOSB
CREB1	FOSB
ATF6B	FOSB
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
TCF7	BIRC5
EP300	HK3
HIF1A	TIMP1
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	ITGB2
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD4	AXIN1
TEAD3	CTGF
STAT4	SOCS5
STAT5B	SOCS3
RBPJ	HES1
TP53	SESN1
TP53	GTSE1
TP53	BAI1
EPAS1	PDGFB
FOS	FIGF
NFKB2	TRAF2
ATF4	MCL1
PPARA	CYP7A1
PPARD	FABP3
PPARG	CYP27A1
RXRA	CYP8B1
RXRA	ACADM
NFKB1	CEBPB
NFKB1	IL23A
MAPK3	IL18
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
MAPK12	IL1A
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
SP3	CTSL
SP1	CYP1A1
SP3	CYP1A1
SP1	CYP21A2
JUNB	DCN
ETS1	DNTT
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
STAT5A	IFNG
CEBPB	IGF2
CEBPD	IL1A
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
ETS2	PLAU
ETS1	TNF
