TNF	SELE
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	CRH
MAPK1	PDYN
CREB3L2	NPY
CREB3L1	CRH
ATF6B	ARC
ATF4	ARC
GLI2	WNT11
GLI2	WNT9A
GLI2	WNT10A
GLI3	PTCH1
GLI3	HHIP
GLI3	BMP4
TFDP2	CCNE2
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
JUN	RELA
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREB1	PCNA
ATF6B	PCNA
EGR3	FASLG
NFKB1	TNF
MAPK8	JUN
MAPK9	JUN
CREBBP	CDKN1A
CREBBP	ENO2
CREBBP	FIGF
CREBBP	SERPINE1
CREBBP	ANGPT4
CREBBP	PFKFB1
EP300	CDKN1A
EP300	ENO2
EP300	FIGF
EP300	SERPINE1
EP300	ANGPT4
EP300	PFKFB1
HIF1A	CDKN1A
HIF1A	ENO2
HIF1A	FIGF
HIF1A	SERPINE1
HIF1A	ANGPT4
HIF1A	PFKFB1
HIF1A	TFRC
HIF1A	TIMP1
HIF1A	VEGFA
ARNT	EDN1
ARNT	EGF
ARNT	FIGF
ARNT	HK2
ARNT	LDHA
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PFKFB3
ARNT	PGK1
ARNT	BCL2
ARNT	TIMP1
ARNT	VEGFA
RELA	HIF1A
STAT3	HIF1A
YAP1	GLI2
YAP1	ID1
YAP1	ID2
YAP1	ID3
YAP1	CCND1
YAP1	AREGB
YAP1	AXIN1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	BIRC5
WWTR1	ITGB2
WWTR1	AREG
SMAD1	ID4
SMAD2	SERPINE1
SMAD4	ID2
LEF1	CCND3
TCF7	SNAI2
TCF7	CCND2
TCF7L2	BIRC2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
FOXO1	PCK1
STAT4	CCND3
STAT5A	SOCS5
STAT5B	CCND2
HNF1A	HNF4G
CREB1	MITF
LEF1	MITF
CREB3L2	MITF
VDR	SLC34A2
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELA	NFKBIA
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
PIK3R1	AKT1
PIK3R2	AKT3
PIK3R3	PDPK1
BBC3	TP53
TP53	PERP
EPAS1	PDGFB
FOS	CDK4
MAX	CKS1B
NFKB1	TRAF5
NFKB2	TRAF2
NFKB2	TRAF5
FOXO3	RBL2
PPARA	CYP7A1
PPARA	DBI
PPARD	CPT1B
PPARG	CYP27A1
PPARG	ACSL1
RXRA	CYP7A1
RXRA	APOA1
RXRA	ACADM
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRB	APOC3
RXRG	EHHADH
IRF7	IFNA8
CREB1	HLA-DRB5
MAPK14	IL1A
MAPK14	IL6
MAPK14	IL12B
MAPK14	NOS2
MAPK14	TNF
MYD88	IFNA2
MYD88	IFNA5
MYD88	IFNA6
MYD88	IFNA10
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFYA	HLA-DQA1
NFYC	HLA-DQA2
MAPK1	IL12B
MAPK3	IL18
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
MAPK8	IL18
MAPK9	IL12A
MAPK9	IL12B
RFX5	LOC100507709
RFX5	HLA-DQA1
RFXANK	HLA-DMA
NFAT5	PTGS2
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
TCF7L1	MMP7
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
MYB	TSC22D3
MYBL1	TSC22D3
MYBL2	CDKN1C
NFIC	TINAGL1
CEBPA	ABCB1
CEBPB	ABCB1
SP1	ADA
SP1	CAV1
TP53	CAV1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
ELK1	CCT8
SP1	CD9
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
REL	CSF2
NFIC	CSNK2A1
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
REL	CSRP1
USF1	CTSB
TFAP2A	CYP11A1
ETS1	DNTT
TFAP2A	ERBB2
TP53	ERBB2
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
CEBPA	GPX4
CREM	GPX4
REL	IFNG
STAT5B	IFNG
EGR1	IGF2
SP3	IGFBP3
SP1	IL1A
SP1	IL1B
EGR1	IL2
POU2F1	IL2
REL	IL2RA
TP53	IL8
CEBPA	ITGA2
ERG	MMP3
ETS2	MMP3
FLI1	MMP3
ETV4	MMP9
FLI1	MMP9
PPARG	MMP9
SPI1	NFKB1
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
CREM	PLAT
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
SP1	RPL10
RARB	S100A8
RARG	S100A9
PPARA	SERPINE1
PPARD	SERPINE1
SP1	SERPINE1
ETS2	SPP1
POU2F2	SPP1
TFAP2A	TAF7
JUN	TFRC
ATF1	TG
PAX8	TG
JUND	TIMP1
STAT3	TIMP1
ATF1	TNF
ERG	TNNC1
ETS1	TNNC1
JUN	TNNC1
NFKB1	TP53
TP53	TP53
CREB1	TRH
