TPO	GOT1
GOT1	ASS1
ASS1	NOS3
NOS3	CREB1
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
ASS1	NOS1
NOS1	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
CREB3	ATF1
HRAS	JUN
NOS1	MAPK1
MAPK1	ETS1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
MAPK1	MYC
SMAD2	SP1
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
MYC	ZBTB17
MYC	PIAS2
NOS3	ATF2
NOS3	ATF6B
NOS3	ATF4
NOS3	CREB3L2
NOS3	CREB3L1
NOS3	CREB5
MAPK1	NFKB1
MAPK1	RELA
NOS1	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
RB1	E2F2
RB1	E2F3
TP53	TP73
MAPK1	ELK1
MAPK1	STAT1
MAPK1	STAT3
SMAD2	YAP1
GOT1	ADSSL1
ADSSL1	ADSL
ADSL	PDE3B
PDE3B	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
ELK1	EGR1
CREBBP	EPAS1
HRAS	FOS
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
PRKACA	PPARA
MAPK1	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
MAPK1	SMAD3
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
HRAS	MAPK14
MAPK14	MAX
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
STAT3	STAT5A
STAT3	STAT5B
NFKB1	NFKB2
MAPK1	FOXO3
ETS1	SPI1
PML	JUP
RARA	JUP
ZBTB16	JUP
RUNX1	JUP
RUNX1T1	JUP
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
NR3C2	ATP1B4
NR3C2	ATP1A2
NR3C2	ATP1B1
NR3C2	FXYD2
NR3C2	SCNN1B
CREB3	ARC
CREB1	ARC
ATF2	ARC
CREB3L1	ARC
RELA	BCL2L1
GLI1	WNT11
GLI2	WNT11
GLI2	WNT9A
GLI2	WNT10A
GLI3	BMP4
GLI3	WNT6
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
ELK1	CCND3
ATF6B	PCNA
CREB3L4	IL8
NFKB1	TNF
MAPK9	JUN
RELA	IL6
TP53	CDKN1B
CREBBP	ENO2
CREBBP	ENO3
CREBBP	SERPINE1
CREBBP	PFKFB1
CREBBP	PFKL
CREBBP	TF
EP300	ENO2
EP300	ENO3
EP300	SERPINE1
EP300	PFKFB1
EP300	PFKL
EP300	TF
HIF1A	ENO2
HIF1A	ENO3
HIF1A	SERPINE1
HIF1A	PFKFB1
HIF1A	TEK
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	CCND1
WWTR1	FGF1
SMAD1	ID4
SMAD2	CTGF
SMAD4	ID2
LEF1	CCND3
TCF7	BIRC2
TCF7	CCND2
TCF7L2	BIRC2
TCF7L2	SNAI2
TCF7L2	CCND3
TEAD1	SOX2
TEAD3	CTGF
TCF7L1	AXIN2
TEAD2	CCND1
EP300	MITF
MITF	TYRP1
LEF1	MITF
MAPK1	CDK4
MAPK3	CCND1
VDR	SLC34A2
VDR	ATP2B1
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELA	CCL4L2
RELA	NFKBIA
RELB	ICAM1
PIK3CA	AKT3
PIK3CB	AKT1
PIK3CG	PDPK1
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R2	AKT3
PIK3R2	AKT1
PIK3R3	PDPK1
RBPJL	HES1
RBPJ	HES1
TP53	RCHY1
TP53	GTSE1
TP53	PIDD
TP53	BAI1
TP53	PERP
NFKB1	FIGF
EPAS1	SLC2A1
NFKB2	TRAF6
PPARA	EHHADH
PPARG	ACSL3
RXRA	ACSL6
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRB	AQP7
RXRG	EHHADH
RXRG	FABP4
IRF7	IFNA8
IRF7	IFNA10
STAT1	CXCL9
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
MYD88	IFNA7
NFYA	HLA-DOA
NFYA	HLA-DOB
NFYC	HLA-DQA2
MAPK1	IL1A
MAPK1	IL1B
MAPK8	IL18
MAPK9	IL12A
MAPK9	IL12B
MAPK9	IL18
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
RFX5	CD74
RFXAP	LOC100507709
MAPK12	IL1A
MAPK12	IL6
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
SP1	COL4A1
SP3	ABCA1
CREB1	CCND1
SP3	CD14
SP1	CD9
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
REL	CSF2
USF1	CTSB
SP3	CTSL
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
ETS1	DNTT
TFAP2C	ESR1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
ETS1	HMOX1
NFIC	HMOX1
ETS1	HPGD
NFIC	HRAS
CEBPA	ICAM1
CREB1	ICAM1
CREM	ICAM1
EGR1	IFNG
STAT5A	IFNG
CEBPB	IGF2
SP1	IGFBP3
CEBPD	IL1A
REL	IL1B
CREM	IL2
NFKB1	IL2
POU2F1	IL4
CEBPB	IL5
JUN	IL5
POU2F2	IL5
CEBPA	IL6
CREB1	IL6
NFIC	IL6
USF1	IL6
ATF1	JUN
TFAP2A	KRT14
POU2F1	LPL
ERG	MMP3
ETS2	MMP3
FLI1	MMP3
PPARG	MMP9
TFAP2A	MT1A
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
MYC	PTMA
E2F4	RBL1
RARB	S100A8
RARG	S100A8
PPARA	SERPINE1
SP1	SERPINE1
NFIC	SFTPC
ESR1	SP1
POU2F2	SPP1
SP1	SPP1
JUN	TFRC
PAX8	TG
HOXA4	TH
WT1	THBS1
STAT3	TIMP1
TFAP2A	TIMP1
ERG	TNNC1
JUN	TNNC1
SMAD4	TNNC1
USF2	TOP3A
TP53	TP53
USF1	TP53
HIF1A	VHL
ERG	VIM
SMAD3	ZFP36
